workerid,trial_type,stim_type,trial_num,trial_prompt,stim_category0,stim_category1,stim_category2,stim_category3,stim_category4,slider1,slider2,stim_color,slider0,slider3,slider4,stim_part
8,prior_elicitation,nondistinctive,2,catprop,mooks,plovs,sapers,glippets,ackles,0,0,copper,1,0.34,0,stripes
8,prior_elicitation,danger-distinct,3,catprop,reesles,kazzes,noobs,daiths,dorbs,0,0,blue,0,1,0,scales
8,prior_elicitation,bare,4,catprop,feps,thups,frams,trufts,kweps,0,0,pink,0,1,0,legs
8,prior_elicitation,danger-distinct,5,catprop,stups,morseths,blins,ollers,taifels,0,0,gold,0,1,0,spots
9,prior_elicitation,bare,0,catprop,kweps,cheebas,thups,kazzes,elleps,0.3,0.22,copper,0.14,0.79,0.46,fur
9,prior_elicitation,nondistinctive,1,catprop,sapers,taifels,blins,frams,javs,0.65,0,red,0.33,0.16,0.31,spots
9,prior_elicitation,danger-distinct,2,catprop,feps,moxes,luzaks,trufts,morseths,0,0,pink,1,0,0,legs
9,prior_elicitation,danger-distinct,3,catprop,glippets,mooks,ackles,zoovs,krivels,0,1,copper,0,0,0,spots
9,prior_elicitation,bare,4,catprop,zorbs,noobs,stups,ollers,reesles,0.32,0,orange,0.17,0.75,0.34,tails
9,prior_elicitation,nondistinctive,5,catprop,ludinos,dorbs,daiths,lorches,plovs,0,0.31,yellow,0,0.83,0.42,legs
10,prior_elicitation,nondistinctive,0,catprop,dorbs,noobs,ollers,morseths,kazzes,0.67,0.59,yellow,0.63,0.56,0.49,scales
10,prior_elicitation,bare,1,catprop,frams,luzaks,cheebas,ackles,thups,0.53,0.48,silver,0.62,0.21,0.6,stripes
10,prior_elicitation,danger-distinct,2,catprop,krivels,ludinos,blins,daiths,zoovs,0.3,0.17,pink,0.25,0.37,0.44,teeth
10,prior_elicitation,danger-distinct,3,catprop,sapers,zorbs,kweps,reesles,stups,0.22,0.15,red,0.45,0.14,0.12,spots
10,prior_elicitation,nondistinctive,4,catprop,glippets,javs,elleps,lorches,trufts,0.06,0.23,copper,0.32,0.36,0.78,spots
10,prior_elicitation,bare,5,catprop,moxes,plovs,feps,taifels,mooks,0.56,0.79,green,0.69,0.45,0.3,shells
11,prior_elicitation,bare,0,catprop,ollers,thups,blins,dorbs,mooks,0.29,0.56,yellow,0.11,0.07,0.01,fur
11,prior_elicitation,bare,1,catprop,lorches,feps,ludinos,reesles,ackles,0.27,0.26,purple,0.78,0.36,0.66,feathers
11,prior_elicitation,danger-distinct,2,catprop,cheebas,daiths,trufts,zoovs,frams,0,1,blue,0,0,0.01,ears
11,prior_elicitation,nondistinctive,3,catprop,javs,zorbs,noobs,elleps,sapers,0.42,0.28,purple,0.14,0.25,0.75,shells
11,prior_elicitation,danger-distinct,4,catprop,moxes,krivels,plovs,luzaks,stups,0.97,0,green,0.02,0,0.02,shells
11,prior_elicitation,nondistinctive,5,catprop,kweps,kazzes,glippets,morseths,taifels,0.03,0,copper,0.01,1,0.02,fur
12,prior_elicitation,nondistinctive,0,catprop,dorbs,ludinos,zoovs,kweps,thups,0.67,0.04,yellow,0.06,0.04,0.38,scales
12,prior_elicitation,danger-distinct,1,catprop,moxes,trufts,krivels,reesles,luzaks,0,0.96,green,0,0,0,shells
12,prior_elicitation,nondistinctive,2,catprop,lorches,sapers,glippets,stups,morseths,0.65,0.82,purple,0.51,0,0,feathers
12,prior_elicitation,bare,3,catprop,noobs,ackles,cheebas,taifels,frams,0.07,0.58,red,0.55,0.69,0.1,feathers
12,prior_elicitation,danger-distinct,4,catprop,javs,kazzes,daiths,elleps,feps,0,0,purple,0,0,0.93,shells
12,prior_elicitation,bare,5,catprop,blins,zorbs,mooks,plovs,ollers,0.65,0.73,red,0.07,0.62,0.07,scales
13,prior_elicitation,bare,0,catprop,glippets,noobs,kazzes,mooks,frams,0.03,0.41,copper,0.18,0.7,0.84,spots
13,prior_elicitation,danger-distinct,1,catprop,ollers,zorbs,blins,plovs,morseths,0.76,0.91,yellow,0.37,0.16,0.1,fur
13,prior_elicitation,nondistinctive,2,catprop,reesles,lorches,elleps,krivels,trufts,1,0.02,blue,0.08,0.97,0.38,scales
13,prior_elicitation,danger-distinct,3,catprop,dorbs,moxes,feps,ackles,kweps,0.41,0.26,yellow,0.08,0.45,0.91,scales
13,prior_elicitation,nondistinctive,4,catprop,taifels,sapers,thups,stups,zoovs,0.97,0.1,purple,0.98,0.09,0.15,tails
13,prior_elicitation,bare,5,catprop,daiths,cheebas,luzaks,javs,ludinos,1,0.58,gold,0.05,0.22,0.91,stripes
14,prior_elicitation,danger-distinct,0,catprop,stups,dorbs,noobs,mooks,plovs,0,0,gold,0,1,0,spots
14,prior_elicitation,bare,1,catprop,frams,luzaks,cheebas,morseths,javs,0.19,1,silver,0.41,0.28,0.11,stripes
14,prior_elicitation,nondistinctive,2,catprop,thups,ollers,kazzes,zorbs,ludinos,0,0,blue,0.57,0,0.49,teeth
14,prior_elicitation,bare,3,catprop,ackles,sapers,daiths,kweps,moxes,0,0,silver,0,0,0.51,legs
14,prior_elicitation,danger-distinct,4,catprop,elleps,krivels,glippets,feps,reesles,0,1,pink,0,0,0,ears
14,prior_elicitation,nondistinctive,5,catprop,zoovs,taifels,trufts,lorches,blins,0.57,0,green,0.44,0,0,teeth
15,prior_elicitation,bare,0,catprop,zorbs,zoovs,glippets,ackles,ollers,0.16,0.69,orange,0.32,0.11,0.15,tails
15,prior_elicitation,nondistinctive,1,catprop,thups,taifels,javs,mooks,blins,0.27,0.62,blue,0.29,0.53,0.66,teeth
15,prior_elicitation,nondistinctive,2,catprop,morseths,noobs,kazzes,feps,elleps,0.36,0.5,silver,0.78,0.27,0.74,fur
15,prior_elicitation,danger-distinct,3,catprop,moxes,ludinos,cheebas,reesles,sapers,0.05,0.02,green,0.03,0.1,0.96,shells
15,prior_elicitation,bare,4,catprop,lorches,dorbs,krivels,plovs,trufts,0.73,0.21,purple,0.36,0.6,0.74,feathers
15,prior_elicitation,danger-distinct,5,catprop,kweps,stups,luzaks,daiths,frams,0.56,0.39,copper,0.34,0.88,0.53,fur
16,prior_elicitation,nondistinctive,0,catprop,sapers,zoovs,reesles,morseths,ackles,0.5,0.5,red,0.5,0.5,0.5,spots
16,prior_elicitation,danger-distinct,1,catprop,blins,dorbs,lorches,plovs,thups,0.14,0.14,red,0.14,0.14,0.14,scales
16,prior_elicitation,bare,2,catprop,ludinos,cheebas,trufts,feps,taifels,0.5,0.42,yellow,0.38,0.36,0.44,legs
16,prior_elicitation,bare,3,catprop,kweps,luzaks,daiths,stups,elleps,0.55,0.49,copper,0.32,0.41,0.47,fur
16,prior_elicitation,danger-distinct,4,catprop,glippets,noobs,zorbs,frams,mooks,0.11,0.11,copper,0.11,0.11,0.11,spots
16,prior_elicitation,nondistinctive,5,catprop,krivels,moxes,javs,ollers,kazzes,0.49,0.49,pink,0.49,0.49,0.49,teeth
17,prior_elicitation,nondistinctive,0,catprop,krivels,moxes,reesles,plovs,ollers,0.99,0.5,pink,0.99,0.02,0,teeth
17,prior_elicitation,danger-distinct,1,catprop,kweps,kazzes,morseths,ludinos,elleps,0,1,copper,0,0,0,fur
17,prior_elicitation,nondistinctive,2,catprop,ackles,noobs,lorches,daiths,sapers,0.01,0.33,silver,1,0.01,1,legs
17,prior_elicitation,bare,3,catprop,trufts,mooks,stups,taifels,blins,0.65,0.99,green,0.29,0,0,tails
17,prior_elicitation,bare,4,catprop,luzaks,zoovs,frams,javs,feps,0.94,0.49,orange,0,0,0,shells
17,prior_elicitation,danger-distinct,5,catprop,zorbs,cheebas,thups,glippets,dorbs,1,0,orange,0,0,0,tails
18,prior_elicitation,nondistinctive,0,catprop,thups,elleps,mooks,kazzes,blins,0.13,0.86,blue,0.59,0.9,0.93,teeth
18,prior_elicitation,bare,1,catprop,reesles,frams,moxes,cheebas,kweps,0,0.11,blue,0.27,0.05,0.55,scales
18,prior_elicitation,danger-distinct,2,catprop,krivels,ludinos,trufts,zoovs,stups,1,0,pink,0,0,0,teeth
18,prior_elicitation,danger-distinct,3,catprop,daiths,luzaks,glippets,feps,lorches,0.02,0,gold,0.03,0,1,stripes
18,prior_elicitation,nondistinctive,4,catprop,zorbs,ackles,sapers,taifels,morseths,0.1,0,orange,0.51,0.39,0.47,tails
18,prior_elicitation,bare,5,catprop,javs,dorbs,ollers,plovs,noobs,0.72,0.13,purple,0.4,0.15,0.86,shells
19,prior_elicitation,nondistinctive,0,catprop,mooks,blins,luzaks,zoovs,ludinos,0.25,0.24,copper,0.24,0.23,0.21,stripes
19,prior_elicitation,bare,1,catprop,lorches,elleps,ollers,daiths,kweps,0.01,0.02,purple,0.01,0.38,0.31,feathers
19,prior_elicitation,bare,2,catprop,taifels,cheebas,krivels,noobs,moxes,0.01,0,purple,0.27,0.01,0.01,tails
19,prior_elicitation,danger-distinct,3,catprop,reesles,frams,glippets,javs,zorbs,0.01,0,blue,0.01,0,0.64,scales
19,prior_elicitation,nondistinctive,4,catprop,thups,dorbs,stups,trufts,kazzes,0.23,0.45,blue,0.01,0.01,0.34,teeth
19,prior_elicitation,danger-distinct,5,catprop,plovs,ackles,morseths,feps,sapers,0.63,0.02,gold,0,0,0.01,feathers
20,prior_elicitation,danger-distinct,0,catprop,noobs,sapers,stups,ackles,dorbs,0.87,0.06,red,0.15,0.05,0.07,feathers
20,prior_elicitation,bare,1,catprop,frams,reesles,feps,zoovs,moxes,0.22,0.11,silver,0.07,0.7,0.17,stripes
20,prior_elicitation,danger-distinct,2,catprop,taifels,glippets,ollers,morseths,trufts,0.05,0.06,purple,0.08,0.68,0.05,tails
20,prior_elicitation,bare,3,catprop,lorches,elleps,daiths,plovs,krivels,0.01,0.72,purple,0.45,0.08,0.05,feathers
20,prior_elicitation,nondistinctive,4,catprop,cheebas,thups,zorbs,javs,ludinos,0.54,0.43,blue,0.04,0.06,0.21,ears
20,prior_elicitation,nondistinctive,5,catprop,luzaks,mooks,blins,kweps,kazzes,0.33,0.15,orange,0.15,0.24,0.59,shells
21,prior_elicitation,bare,0,catprop,elleps,moxes,frams,glippets,ackles,0.17,0.17,pink,0.3,0.1,0.11,ears
21,prior_elicitation,nondistinctive,1,catprop,dorbs,ludinos,krivels,sapers,plovs,0.08,0.37,yellow,0.21,0.08,0.07,scales
21,prior_elicitation,danger-distinct,2,catprop,reesles,trufts,javs,lorches,thups,0.09,0.29,blue,0.16,0.26,0.07,scales
21,prior_elicitation,bare,3,catprop,cheebas,zorbs,kazzes,stups,ollers,0.12,0.22,blue,0.07,0.02,0.07,ears
21,prior_elicitation,nondistinctive,4,catprop,kweps,noobs,luzaks,daiths,taifels,0.25,0.08,copper,0.07,0.07,0.15,fur
21,prior_elicitation,danger-distinct,5,catprop,mooks,blins,zoovs,feps,morseths,0.07,0.04,copper,0.05,0.12,0.19,stripes
22,prior_elicitation,nondistinctive,0,catprop,ackles,sapers,trufts,taifels,zoovs,0.44,0.07,silver,0.52,0.29,0.18,legs
22,prior_elicitation,danger-distinct,1,catprop,ludinos,thups,noobs,luzaks,lorches,0,0,yellow,1,0,0,legs
22,prior_elicitation,bare,2,catprop,zorbs,reesles,mooks,cheebas,frams,0.09,0.22,orange,1,0.82,0.53,tails
22,prior_elicitation,danger-distinct,3,catprop,plovs,stups,javs,elleps,dorbs,0,0.88,gold,0,0,0,feathers
22,prior_elicitation,bare,4,catprop,krivels,kweps,feps,moxes,daiths,0,0.71,pink,0.87,0.23,0,teeth
22,prior_elicitation,nondistinctive,5,catprop,kazzes,morseths,ollers,blins,glippets,0.8,0.69,orange,0,0.6,0.06,ears
23,prior_elicitation,bare,0,catprop,moxes,kweps,taifels,mooks,krivels,0.01,0.01,green,0.01,0.01,0.74,shells
23,prior_elicitation,nondistinctive,1,catprop,lorches,feps,morseths,kazzes,zoovs,0.02,0.88,purple,0.9,0,0.01,feathers
23,prior_elicitation,danger-distinct,2,catprop,javs,thups,blins,dorbs,ludinos,0.01,0.01,purple,0.93,0.01,0.02,shells
23,prior_elicitation,bare,3,catprop,frams,noobs,sapers,plovs,zorbs,0.01,0.01,silver,0.01,0.93,0.02,stripes
23,prior_elicitation,nondistinctive,4,catprop,luzaks,cheebas,ackles,daiths,stups,0.93,0.02,orange,0.02,0.01,0.03,shells
23,prior_elicitation,danger-distinct,5,catprop,ollers,elleps,glippets,reesles,trufts,0.03,0.02,yellow,0.02,0.01,0.93,fur
24,prior_elicitation,bare,0,catprop,kazzes,daiths,zoovs,frams,blins,0.49,0.05,orange,0.66,0.7,0.16,ears
24,prior_elicitation,nondistinctive,1,catprop,javs,plovs,zorbs,dorbs,lorches,0.13,0.02,purple,0.56,0.85,0.94,shells
24,prior_elicitation,bare,2,catprop,feps,mooks,noobs,elleps,kweps,0.78,0.07,pink,0.14,0.17,0.92,legs
24,prior_elicitation,danger-distinct,3,catprop,sapers,morseths,krivels,ludinos,luzaks,0.01,0.01,red,0.02,0.95,0.01,spots
24,prior_elicitation,danger-distinct,4,catprop,cheebas,taifels,glippets,thups,reesles,0.02,0.97,blue,0.03,0.02,0.01,ears
24,prior_elicitation,nondistinctive,5,catprop,ackles,ollers,trufts,moxes,stups,0.95,0.03,silver,0.7,0.1,0.83,legs
25,prior_elicitation,bare,0,catprop,javs,morseths,kazzes,noobs,moxes,0.19,0.68,purple,0.01,0,0.5,shells
25,prior_elicitation,nondistinctive,1,catprop,cheebas,zorbs,taifels,krivels,reesles,0.02,0.53,blue,0.89,0.02,0.01,ears
25,prior_elicitation,nondistinctive,2,catprop,plovs,stups,ollers,ackles,zoovs,0.39,0.02,gold,0.6,0.01,0.27,feathers
25,prior_elicitation,danger-distinct,3,catprop,lorches,frams,glippets,elleps,ludinos,0.01,0.01,purple,0.01,0,0.99,feathers
25,prior_elicitation,danger-distinct,4,catprop,feps,luzaks,trufts,blins,sapers,0,0,pink,0,0.98,0,legs
25,prior_elicitation,bare,5,catprop,dorbs,daiths,kweps,mooks,thups,0.01,0.55,yellow,0.17,0,0,scales
26,prior_elicitation,bare,0,catprop,blins,zoovs,thups,stups,lorches,0.46,0,red,0,0,0.79,scales
26,prior_elicitation,danger-distinct,1,catprop,mooks,morseths,zorbs,javs,plovs,0,1,copper,1,0,0,stripes
26,prior_elicitation,danger-distinct,2,catprop,reesles,dorbs,luzaks,feps,sapers,0.01,1,blue,0.02,0.01,1,scales
26,prior_elicitation,nondistinctive,3,catprop,ackles,daiths,glippets,cheebas,frams,0.1,0.56,silver,1,0.1,0.1,legs
26,prior_elicitation,bare,4,catprop,ollers,kazzes,moxes,ludinos,taifels,0,0.79,yellow,0,0,0,fur
26,prior_elicitation,nondistinctive,5,catprop,kweps,trufts,elleps,krivels,noobs,0.62,0.62,copper,0.62,0.62,0.63,fur
27,prior_elicitation,nondistinctive,0,catprop,javs,sapers,daiths,ludinos,kazzes,0.28,0.27,purple,0.28,0.27,0.27,shells
27,prior_elicitation,danger-distinct,1,catprop,mooks,taifels,lorches,thups,elleps,0.01,1,copper,0.01,0.01,0.02,stripes
27,prior_elicitation,bare,2,catprop,ollers,dorbs,feps,luzaks,glippets,0.48,0.5,yellow,0.49,0.48,0.51,fur
27,prior_elicitation,danger-distinct,3,catprop,trufts,cheebas,noobs,zoovs,plovs,0.99,0,green,0.01,0.01,0,tails
27,prior_elicitation,nondistinctive,4,catprop,moxes,reesles,blins,kweps,krivels,0.46,0.45,green,0.49,0.46,0.45,shells
27,prior_elicitation,bare,5,catprop,morseths,stups,frams,ackles,zorbs,0.11,0.11,silver,0.11,0.12,0.12,fur
28,prior_elicitation,danger-distinct,0,catprop,lorches,glippets,ackles,plovs,sapers,0.81,0.1,purple,0.42,0.08,0.54,feathers
28,prior_elicitation,nondistinctive,1,catprop,ludinos,dorbs,taifels,blins,javs,0.03,0.7,yellow,0.34,0.07,0.37,legs
28,prior_elicitation,danger-distinct,2,catprop,morseths,noobs,cheebas,moxes,trufts,0.02,0.49,silver,0.02,0.75,0.71,fur
28,prior_elicitation,bare,3,catprop,daiths,elleps,zorbs,zoovs,mooks,0.54,0.09,gold,0.23,0.73,0,stripes
28,prior_elicitation,nondistinctive,4,catprop,stups,kweps,krivels,luzaks,frams,0.03,0.78,gold,0.01,0.47,0.05,spots
28,prior_elicitation,bare,5,catprop,ollers,feps,thups,kazzes,reesles,0.71,0.04,yellow,0.13,0.03,0.03,fur
29,prior_elicitation,nondistinctive,0,catprop,kweps,dorbs,sapers,zorbs,kazzes,0.22,0.67,copper,0.28,0.31,0.69,fur
29,prior_elicitation,danger-distinct,1,catprop,luzaks,blins,frams,lorches,noobs,0.65,0.68,orange,0.23,0.5,0,shells
29,prior_elicitation,danger-distinct,2,catprop,thups,daiths,stups,reesles,ollers,0.28,0.25,blue,0.36,0.51,0.59,teeth
29,prior_elicitation,bare,3,catprop,morseths,zoovs,ackles,glippets,moxes,0.02,0.37,silver,0.73,0.14,0.88,fur
29,prior_elicitation,nondistinctive,4,catprop,krivels,mooks,taifels,ludinos,plovs,0.21,0.05,pink,0.26,0.78,0.81,teeth
29,prior_elicitation,bare,5,catprop,javs,feps,cheebas,elleps,trufts,0.73,0.9,purple,0.13,0.52,0.18,shells
30,prior_elicitation,danger-distinct,0,catprop,ludinos,cheebas,glippets,krivels,stups,0.99,0.99,yellow,0.98,0.99,0.99,legs
30,prior_elicitation,danger-distinct,1,catprop,sapers,luzaks,lorches,elleps,zoovs,0.98,0.98,red,0.97,0.98,0.99,spots
30,prior_elicitation,bare,2,catprop,dorbs,morseths,mooks,plovs,reesles,0.47,0.48,yellow,0.48,0.48,0.48,scales
30,prior_elicitation,nondistinctive,3,catprop,kazzes,zorbs,moxes,ollers,thups,0.97,0.98,orange,0.97,0.97,0.98,ears
30,prior_elicitation,nondistinctive,4,catprop,kweps,feps,taifels,blins,noobs,0.99,1,copper,1,1,0.99,fur
30,prior_elicitation,bare,5,catprop,daiths,trufts,frams,ackles,javs,1,0.99,gold,0.99,0.99,0.99,stripes
31,prior_elicitation,danger-distinct,0,catprop,taifels,elleps,glippets,thups,ludinos,0,0,purple,0.99,0.01,0.01,tails
31,prior_elicitation,bare,1,catprop,stups,kazzes,luzaks,ollers,lorches,0.02,0.01,gold,0.02,0,0.89,spots
31,prior_elicitation,danger-distinct,2,catprop,reesles,plovs,blins,zoovs,trufts,0.01,0.99,blue,0,0.01,0.01,scales
31,prior_elicitation,bare,3,catprop,zorbs,ackles,sapers,kweps,dorbs,0.01,0.02,orange,0.66,0.02,0.99,tails
31,prior_elicitation,nondistinctive,4,catprop,daiths,krivels,frams,morseths,javs,0.02,0.15,gold,0.02,0.02,0.02,stripes
31,prior_elicitation,nondistinctive,5,catprop,noobs,moxes,mooks,cheebas,feps,0,0.92,red,0.96,0.01,0.02,feathers
32,prior_elicitation,danger-distinct,0,catprop,krivels,dorbs,kweps,javs,cheebas,0.03,0.01,pink,0.01,0.98,0.01,teeth
32,prior_elicitation,danger-distinct,1,catprop,reesles,ludinos,taifels,stups,luzaks,0.01,0,blue,0.01,0,0.97,scales
32,prior_elicitation,nondistinctive,2,catprop,morseths,zoovs,sapers,zorbs,ollers,0.01,0.01,silver,0.46,0.47,0.01,fur
32,prior_elicitation,bare,3,catprop,feps,plovs,glippets,mooks,thups,0.01,0.01,pink,0.7,0.57,0,legs
32,prior_elicitation,nondistinctive,4,catprop,daiths,kazzes,elleps,noobs,frams,0.49,0,gold,0.49,0.01,0.01,stripes
32,prior_elicitation,bare,5,catprop,ackles,blins,moxes,trufts,lorches,0.98,0.01,silver,0,0.01,0,legs
33,prior_elicitation,nondistinctive,0,catprop,trufts,mooks,stups,ackles,reesles,0.5,0.02,green,0.05,0.83,0.76,tails
33,prior_elicitation,bare,1,catprop,daiths,zoovs,javs,glippets,krivels,0.62,0.01,gold,0.03,0.24,0.5,stripes
33,prior_elicitation,bare,2,catprop,elleps,cheebas,zorbs,morseths,thups,0.23,0.04,pink,0.73,0.42,0.01,ears
33,prior_elicitation,danger-distinct,3,catprop,ludinos,feps,kazzes,sapers,kweps,0.51,0.01,yellow,0.03,0.02,0.75,legs
33,prior_elicitation,nondistinctive,4,catprop,dorbs,blins,noobs,taifels,lorches,0.03,0.63,yellow,0.02,0.04,1,scales
33,prior_elicitation,danger-distinct,5,catprop,luzaks,frams,plovs,ollers,moxes,0.04,0.02,orange,0.84,0.67,0.02,shells
34,prior_elicitation,danger-distinct,0,catprop,luzaks,moxes,cheebas,taifels,glippets,0.01,0.01,orange,0,0.97,0,shells
34,prior_elicitation,bare,1,catprop,elleps,plovs,morseths,lorches,frams,1,0.01,pink,1,0.01,0.01,ears
34,prior_elicitation,nondistinctive,2,catprop,kazzes,feps,mooks,stups,ackles,0,1,orange,0,1,1,ears
34,prior_elicitation,nondistinctive,3,catprop,javs,blins,noobs,zorbs,ollers,0.98,0,purple,0.98,0,0,shells
34,prior_elicitation,bare,4,catprop,reesles,ludinos,kweps,sapers,thups,0,0,blue,0,0,0,scales
34,prior_elicitation,danger-distinct,5,catprop,daiths,krivels,zoovs,trufts,dorbs,0.98,0.01,gold,0.01,0.01,0.02,stripes
35,prior_elicitation,nondistinctive,0,catprop,zorbs,daiths,elleps,reesles,sapers,0.17,0.18,orange,0.12,0.16,0.18,tails
