workerid,rt,trial_type,stim_type,trial_num,response0,trial_prompt,stim_category0,stim_color,stim_part
0,3205,prior_elicitation,nondistinctive,27,10,catprop,glippets,copper,spots
0,1989,prior_elicitation,danger-distinct,28,5,catprop,kweps,copper,fur
0,2402,prior_elicitation,danger-distinct,29,5,catprop,noobs,red,feathers
1,33194,prior_elicitation,nondistinctive,0,2,catprop,zoovs,green,teeth
1,5339,prior_elicitation,danger-distinct,1,10,catprop,glippets,copper,spots
1,3280,prior_elicitation,bare,2,5,catprop,kazzes,orange,ears
1,14671,prior_elicitation,bare,3,100,catprop,moxes,green,shells
1,6224,prior_elicitation,danger-distinct,4,100,catprop,taifels,purple,tails
1,8572,prior_elicitation,nondistinctive,5,100,catprop,trufts,green,tails
1,3768,prior_elicitation,nondistinctive,6,100,catprop,cheebas,blue,ears
1,3323,prior_elicitation,danger-distinct,7,100,catprop,zorbs,orange,tails
1,3992,prior_elicitation,bare,8,100,catprop,ludinos,yellow,legs
1,4897,prior_elicitation,nondistinctive,9,100,catprop,krivels,pink,teeth
1,4186,prior_elicitation,danger-distinct,10,100,catprop,dorbs,yellow,scales
1,4480,prior_elicitation,bare,11,100,catprop,kweps,copper,fur
1,7112,prior_elicitation,bare,12,100,catprop,mooks,copper,stripes
1,2492,prior_elicitation,bare,13,100,catprop,noobs,red,feathers
1,8767,prior_elicitation,danger-distinct,14,100,catprop,ackles,silver,legs
1,5990,prior_elicitation,bare,15,100,catprop,daiths,gold,stripes
1,4990,prior_elicitation,nondistinctive,16,100,catprop,ollers,yellow,fur
1,3134,prior_elicitation,bare,17,100,catprop,luzaks,orange,shells
1,4270,prior_elicitation,danger-distinct,18,100,catprop,plovs,gold,feathers
1,3962,prior_elicitation,danger-distinct,19,100,catprop,thups,blue,teeth
1,3428,prior_elicitation,nondistinctive,20,100,catprop,reesles,blue,scales
1,2778,prior_elicitation,danger-distinct,21,100,catprop,stups,gold,spots
1,2900,prior_elicitation,nondistinctive,22,100,catprop,frams,silver,stripes
1,2592,prior_elicitation,nondistinctive,23,100,catprop,lorches,purple,feathers
1,2864,prior_elicitation,nondistinctive,24,100,catprop,elleps,pink,ears
1,2832,prior_elicitation,danger-distinct,25,100,catprop,javs,purple,shells
1,3962,prior_elicitation,bare,26,100,catprop,morseths,silver,fur
1,3201,prior_elicitation,nondistinctive,27,100,catprop,blins,red,scales
1,3691,prior_elicitation,bare,28,100,catprop,sapers,red,spots
1,2671,prior_elicitation,danger-distinct,29,100,catprop,feps,pink,legs
2,27556,prior_elicitation,nondistinctive,0,25,catprop,zorbs,orange,tails
2,11164,prior_elicitation,danger-distinct,1,0,catprop,ollers,yellow,fur
2,6998,prior_elicitation,bare,2,1,catprop,moxes,green,shells
2,13352,prior_elicitation,nondistinctive,3,25,catprop,glippets,copper,spots
2,6960,prior_elicitation,danger-distinct,4,1,catprop,lorches,purple,feathers
2,9159,prior_elicitation,bare,5,0,catprop,plovs,gold,feathers
2,8793,prior_elicitation,danger-distinct,6,0,catprop,dorbs,yellow,scales
2,5149,prior_elicitation,danger-distinct,7,0,catprop,blins,red,scales
2,4610,prior_elicitation,danger-distinct,8,0,catprop,daiths,gold,stripes
2,9281,prior_elicitation,danger-distinct,9,0,catprop,reesles,blue,scales
2,12279,prior_elicitation,bare,10,1,catprop,trufts,green,tails
2,4815,prior_elicitation,bare,11,1,catprop,cheebas,blue,ears
2,5792,prior_elicitation,nondistinctive,12,25,catprop,javs,purple,shells
2,4749,prior_elicitation,nondistinctive,13,25,catprop,frams,silver,stripes
2,4216,prior_elicitation,danger-distinct,14,0,catprop,kweps,copper,fur
2,2708,prior_elicitation,danger-distinct,15,0,catprop,taifels,purple,tails
2,7318,prior_elicitation,bare,16,1,catprop,luzaks,orange,shells
2,4448,prior_elicitation,nondistinctive,17,25,catprop,sapers,red,spots
2,3056,prior_elicitation,bare,18,1,catprop,krivels,pink,teeth
2,3455,prior_elicitation,nondistinctive,19,25,catprop,feps,pink,legs
2,5937,prior_elicitation,bare,20,1,catprop,zoovs,green,teeth
2,4967,prior_elicitation,nondistinctive,21,25,catprop,noobs,red,feathers
2,2929,prior_elicitation,danger-distinct,22,0,catprop,mooks,copper,stripes
2,3257,prior_elicitation,nondistinctive,23,25,catprop,elleps,pink,ears
2,4143,prior_elicitation,nondistinctive,24,25,catprop,morseths,silver,fur
2,5350,prior_elicitation,nondistinctive,25,25,catprop,kazzes,orange,ears
2,4394,prior_elicitation,bare,26,1,catprop,ludinos,yellow,legs
2,2892,prior_elicitation,danger-distinct,27,0,catprop,thups,blue,teeth
2,4916,prior_elicitation,bare,28,1,catprop,ackles,silver,legs
2,2528,prior_elicitation,bare,29,1,catprop,stups,gold,spots
3,35986,prior_elicitation,danger-distinct,0,2,catprop,reesles,blue,scales
3,9526,prior_elicitation,bare,1,7,catprop,morseths,silver,fur
3,2647,prior_elicitation,bare,2,7,catprop,frams,silver,stripes
3,3833,prior_elicitation,nondistinctive,3,8,catprop,kweps,copper,fur
3,4816,prior_elicitation,bare,4,5,catprop,cheebas,blue,ears
3,2002,prior_elicitation,danger-distinct,5,6,catprop,ludinos,yellow,legs
3,2222,prior_elicitation,danger-distinct,6,6,catprop,feps,pink,legs
3,1488,prior_elicitation,danger-distinct,7,6,catprop,mooks,copper,stripes
3,2841,prior_elicitation,bare,8,4,catprop,zoovs,green,teeth
3,1377,prior_elicitation,bare,9,5,catprop,plovs,gold,feathers
3,2439,prior_elicitation,nondistinctive,10,4,catprop,zorbs,orange,tails
3,2872,prior_elicitation,bare,11,7,catprop,lorches,purple,feathers
3,2952,prior_elicitation,danger-distinct,12,3,catprop,sapers,red,spots
3,2368,prior_elicitation,bare,13,6,catprop,trufts,green,tails
3,1792,prior_elicitation,nondistinctive,14,7,catprop,dorbs,yellow,scales
3,2071,prior_elicitation,nondistinctive,15,6,catprop,krivels,pink,teeth
3,3145,prior_elicitation,danger-distinct,16,3,catprop,taifels,purple,tails
3,2456,prior_elicitation,nondistinctive,17,6,catprop,stups,gold,spots
3,2263,prior_elicitation,danger-distinct,18,2,catprop,ollers,yellow,fur
3,2528,prior_elicitation,nondistinctive,19,5,catprop,glippets,copper,spots
3,1855,prior_elicitation,nondistinctive,20,4,catprop,luzaks,orange,shells
3,1760,prior_elicitation,nondistinctive,21,7,catprop,kazzes,orange,ears
3,1927,prior_elicitation,bare,22,5,catprop,noobs,red,feathers
3,2535,prior_elicitation,danger-distinct,23,3,catprop,javs,purple,shells
3,2057,prior_elicitation,bare,24,6,catprop,elleps,pink,ears
3,1344,prior_elicitation,bare,25,7,catprop,blins,red,scales
3,3889,prior_elicitation,danger-distinct,26,2,catprop,daiths,gold,stripes
3,1999,prior_elicitation,danger-distinct,27,3,catprop,thups,blue,teeth
3,3039,prior_elicitation,nondistinctive,28,5,catprop,ackles,silver,legs
3,1519,prior_elicitation,nondistinctive,29,3,catprop,moxes,green,shells
4,8946,prior_elicitation,nondistinctive,0,25,catprop,thups,blue,teeth
4,2764,prior_elicitation,bare,1,30,catprop,taifels,purple,tails
4,1646,prior_elicitation,bare,2,40,catprop,daiths,gold,stripes
4,2477,prior_elicitation,bare,3,25,catprop,cheebas,blue,ears
4,7064,prior_elicitation,nondistinctive,4,30,catprop,lorches,purple,feathers
4,1913,prior_elicitation,nondistinctive,5,15,catprop,dorbs,yellow,scales
4,1827,prior_elicitation,danger-distinct,6,5,catprop,stups,gold,spots
4,2189,prior_elicitation,bare,7,10,catprop,morseths,silver,fur
4,1719,prior_elicitation,bare,8,15,catprop,luzaks,orange,shells
4,2094,prior_elicitation,bare,9,25,catprop,zorbs,orange,tails
4,6241,prior_elicitation,nondistinctive,10,40,catprop,trufts,green,tails
4,1721,prior_elicitation,danger-distinct,11,5,catprop,elleps,pink,ears
4,1250,prior_elicitation,danger-distinct,12,5,catprop,javs,purple,shells
4,2772,prior_elicitation,nondistinctive,13,10,catprop,sapers,red,spots
4,4071,prior_elicitation,nondistinctive,14,25,catprop,ludinos,yellow,legs
4,2040,prior_elicitation,danger-distinct,15,5,catprop,ollers,yellow,fur
4,3976,prior_elicitation,danger-distinct,16,2,catprop,frams,silver,stripes
4,3132,prior_elicitation,bare,17,25,catprop,ackles,silver,legs
4,1470,prior_elicitation,bare,18,15,catprop,krivels,pink,teeth
4,3734,prior_elicitation,nondistinctive,19,5,catprop,glippets,copper,spots
4,2194,prior_elicitation,danger-distinct,20,5,catprop,zoovs,green,teeth
4,2814,prior_elicitation,nondistinctive,21,20,catprop,kweps,copper,fur
4,2688,prior_elicitation,danger-distinct,22,2,catprop,feps,pink,legs
4,3273,prior_elicitation,nondistinctive,23,20,catprop,moxes,green,shells
4,3398,prior_elicitation,nondistinctive,24,15,catprop,kazzes,orange,ears
4,2516,prior_elicitation,bare,25,30,catprop,reesles,blue,scales
4,3304,prior_elicitation,danger-distinct,26,2,catprop,mooks,copper,stripes
4,2266,prior_elicitation,bare,27,15,catprop,plovs,gold,feathers
4,1984,prior_elicitation,danger-distinct,28,2,catprop,noobs,red,feathers
4,1360,prior_elicitation,danger-distinct,29,3,catprop,blins,red,scales
5,19055,prior_elicitation,danger-distinct,0,2,catprop,feps,pink,legs
5,11598,prior_elicitation,bare,1,25,catprop,kazzes,orange,ears
5,3918,prior_elicitation,bare,2,25,catprop,moxes,green,shells
5,15623,prior_elicitation,danger-distinct,3,2,catprop,krivels,pink,teeth
5,6263,prior_elicitation,bare,4,30,catprop,plovs,gold,feathers
5,4223,prior_elicitation,bare,5,30,catprop,elleps,pink,ears
5,5129,prior_elicitation,nondistinctive,6,30,catprop,morseths,silver,fur
5,4416,prior_elicitation,danger-distinct,7,2,catprop,zoovs,green,teeth
5,5528,prior_elicitation,bare,8,20,catprop,blins,red,scales
5,3722,prior_elicitation,bare,9,20,catprop,cheebas,blue,ears
5,7526,prior_elicitation,danger-distinct,10,2,catprop,ollers,yellow,fur
5,9376,prior_elicitation,danger-distinct,11,2,catprop,thups,blue,teeth
5,3753,prior_elicitation,nondistinctive,12,20,catprop,zorbs,orange,tails
5,3807,prior_elicitation,nondistinctive,13,20,catprop,noobs,red,feathers
5,3528,prior_elicitation,danger-distinct,14,2,catprop,mooks,copper,stripes
5,3080,prior_elicitation,nondistinctive,15,20,catprop,frams,silver,stripes
5,3240,prior_elicitation,danger-distinct,16,2,catprop,ludinos,yellow,legs
5,3695,prior_elicitation,nondistinctive,17,20,catprop,ackles,silver,legs
5,4121,prior_elicitation,nondistinctive,18,20,catprop,javs,purple,shells
5,3369,prior_elicitation,nondistinctive,19,20,catprop,daiths,gold,stripes
5,3288,prior_elicitation,danger-distinct,20,2,catprop,lorches,purple,feathers
5,3221,prior_elicitation,danger-distinct,21,2,catprop,stups,gold,spots
5,4175,prior_elicitation,bare,22,20,catprop,luzaks,orange,shells
5,6880,prior_elicitation,nondistinctive,23,20,catprop,kweps,copper,fur
5,2864,prior_elicitation,danger-distinct,24,2,catprop,reesles,blue,scales
5,4816,prior_elicitation,bare,25,20,catprop,dorbs,yellow,scales
5,4919,prior_elicitation,nondistinctive,26,20,catprop,taifels,purple,tails
5,4224,prior_elicitation,bare,27,20,catprop,glippets,copper,spots
5,4672,prior_elicitation,nondistinctive,28,20,catprop,sapers,red,spots
5,4280,prior_elicitation,bare,29,20,catprop,trufts,green,tails
6,13507,prior_elicitation,danger-distinct,0,5,catprop,kweps,copper,fur
6,4828,prior_elicitation,nondistinctive,1,65,catprop,zoovs,green,teeth
6,3953,prior_elicitation,bare,2,25,catprop,mooks,copper,stripes
6,3314,prior_elicitation,bare,3,55,catprop,glippets,copper,spots
6,2562,prior_elicitation,bare,4,25,catprop,frams,silver,stripes
6,2204,prior_elicitation,bare,5,10,catprop,taifels,purple,tails
6,4717,prior_elicitation,danger-distinct,6,5,catprop,stups,gold,spots
6,3913,prior_elicitation,nondistinctive,7,25,catprop,morseths,silver,fur
6,3751,prior_elicitation,danger-distinct,8,5,catprop,luzaks,orange,shells
6,4218,prior_elicitation,nondistinctive,9,25,catprop,feps,pink,legs
6,3298,prior_elicitation,bare,10,25,catprop,dorbs,yellow,scales
6,2671,prior_elicitation,nondistinctive,11,15,catprop,lorches,purple,feathers
6,3718,prior_elicitation,nondistinctive,12,35,catprop,noobs,red,feathers
6,2439,prior_elicitation,nondistinctive,13,50,catprop,elleps,pink,ears
6,2124,prior_elicitation,nondistinctive,14,25,catprop,trufts,green,tails
6,4102,prior_elicitation,bare,15,15,catprop,sapers,red,spots
6,4217,prior_elicitation,danger-distinct,16,25,catprop,ackles,silver,legs
6,4414,prior_elicitation,bare,17,35,catprop,ollers,yellow,fur
6,4963,prior_elicitation,danger-distinct,18,5,catprop,reesles,blue,scales
6,4037,prior_elicitation,nondistinctive,19,35,catprop,krivels,pink,teeth
6,2949,prior_elicitation,danger-distinct,20,5,catprop,cheebas,blue,ears
6,2522,prior_elicitation,bare,21,25,catprop,moxes,green,shells
6,2814,prior_elicitation,bare,22,25,catprop,daiths,gold,stripes
6,2681,prior_elicitation,nondistinctive,23,15,catprop,javs,purple,shells
6,2600,prior_elicitation,danger-distinct,24,5,catprop,ludinos,yellow,legs
6,3000,prior_elicitation,danger-distinct,25,5,catprop,plovs,gold,feathers
6,2523,prior_elicitation,danger-distinct,26,5,catprop,blins,red,scales
6,2680,prior_elicitation,bare,27,25,catprop,kazzes,orange,ears
6,4312,prior_elicitation,nondistinctive,28,35,catprop,zorbs,orange,tails
6,2681,prior_elicitation,danger-distinct,29,5,catprop,thups,blue,teeth
7,104134,prior_elicitation,danger-distinct,0,100,catprop,zorbs,orange,tails
7,38577,prior_elicitation,bare,1,50,catprop,moxes,green,shells
7,37928,prior_elicitation,danger-distinct,2,100,catprop,stups,gold,spots
7,43066,prior_elicitation,nondistinctive,3,50,catprop,taifels,purple,tails
7,21652,prior_elicitation,danger-distinct,4,100,catprop,blins,red,scales
7,21267,prior_elicitation,nondistinctive,5,50,catprop,krivels,pink,teeth
7,17417,prior_elicitation,danger-distinct,6,100,catprop,plovs,gold,feathers
7,36595,prior_elicitation,nondistinctive,7,50,catprop,frams,silver,stripes
7,31102,prior_elicitation,nondistinctive,8,50,catprop,kweps,copper,fur
7,14421,prior_elicitation,nondistinctive,9,50,catprop,daiths,gold,stripes
7,18321,prior_elicitation,nondistinctive,10,50,catprop,ackles,silver,legs
7,21013,prior_elicitation,bare,11,50,catprop,morseths,silver,fur
7,26116,prior_elicitation,bare,12,20,catprop,thups,blue,teeth
7,8898,prior_elicitation,bare,13,20,catprop,kazzes,orange,ears
7,6357,prior_elicitation,bare,14,20,catprop,zoovs,green,teeth
7,16499,prior_elicitation,danger-distinct,15,100,catprop,glippets,copper,spots
7,23753,prior_elicitation,danger-distinct,16,100,catprop,trufts,green,tails
7,13670,prior_elicitation,danger-distinct,17,100,catprop,elleps,pink,ears
7,12228,prior_elicitation,bare,18,20,catprop,cheebas,blue,ears
7,5866,prior_elicitation,bare,19,20,catprop,noobs,red,feathers
7,16471,prior_elicitation,nondistinctive,20,50,catprop,sapers,red,spots
7,15530,prior_elicitation,nondistinctive,21,50,catprop,dorbs,yellow,scales
7,25076,prior_elicitation,danger-distinct,22,100,catprop,lorches,purple,feathers
7,8331,prior_elicitation,bare,23,20,catprop,feps,pink,legs
7,12642,prior_elicitation,danger-distinct,24,100,catprop,ludinos,yellow,legs
7,11675,prior_elicitation,bare,25,20,catprop,javs,purple,shells
7,14651,prior_elicitation,nondistinctive,26,50,catprop,luzaks,orange,shells
7,11997,prior_elicitation,bare,27,20,catprop,ollers,yellow,fur
7,14912,prior_elicitation,danger-distinct,28,100,catprop,reesles,blue,scales
7,8870,prior_elicitation,nondistinctive,29,50,catprop,mooks,copper,stripes
8,12944,prior_elicitation,bare,0,10,catprop,reesles,blue,scales
8,9285,prior_elicitation,bare,1,1,catprop,mooks,copper,stripes
8,19330,prior_elicitation,danger-distinct,2,1,catprop,daiths,gold,stripes
8,10798,prior_elicitation,nondistinctive,3,10,catprop,zoovs,green,teeth
8,18968,prior_elicitation,danger-distinct,4,3,catprop,morseths,silver,fur
8,8187,prior_elicitation,bare,5,3,catprop,thups,blue,teeth
8,11661,prior_elicitation,danger-distinct,6,3,catprop,feps,pink,legs
8,6060,prior_elicitation,bare,7,3,catprop,lorches,purple,feathers
8,6985,prior_elicitation,nondistinctive,8,9,catprop,noobs,red,feathers
8,5497,prior_elicitation,bare,9,6,catprop,blins,red,scales
8,5152,prior_elicitation,nondistinctive,10,9,catprop,krivels,pink,teeth
8,3791,prior_elicitation,danger-distinct,11,3,catprop,cheebas,blue,ears
8,4473,prior_elicitation,nondistinctive,12,6,catprop,sapers,red,spots
8,3797,prior_elicitation,bare,13,6,catprop,ollers,yellow,fur
8,5496,prior_elicitation,danger-distinct,14,3,catprop,dorbs,yellow,scales
8,4843,prior_elicitation,bare,15,6,catprop,stups,gold,spots
8,4669,prior_elicitation,nondistinctive,16,6,catprop,moxes,green,shells
8,4537,prior_elicitation,nondistinctive,17,6,catprop,elleps,pink,ears
8,8701,prior_elicitation,bare,18,6,catprop,frams,silver,stripes
8,4093,prior_elicitation,nondistinctive,19,9,catprop,trufts,green,tails
8,3939,prior_elicitation,bare,20,6,catprop,taifels,purple,tails
8,4534,prior_elicitation,danger-distinct,21,3,catprop,kweps,copper,fur
8,2769,prior_elicitation,danger-distinct,22,3,catprop,ackles,silver,legs
8,2846,prior_elicitation,nondistinctive,23,6,catprop,plovs,gold,feathers
8,5441,prior_elicitation,nondistinctive,24,9,catprop,kazzes,orange,ears
8,4731,prior_elicitation,nondistinctive,25,9,catprop,luzaks,orange,shells
8,4656,prior_elicitation,danger-distinct,26,3,catprop,zorbs,orange,tails
8,3632,prior_elicitation,danger-distinct,27,3,catprop,glippets,copper,spots
8,3803,prior_elicitation,bare,28,6,catprop,ludinos,yellow,legs
8,3360,prior_elicitation,danger-distinct,29,3,catprop,javs,purple,shells
9,20735,prior_elicitation,danger-distinct,0,1,catprop,reesles,blue,scales
9,14602,prior_elicitation,bare,1,2,catprop,stups,gold,spots
9,7008,prior_elicitation,bare,2,5,catprop,blins,red,scales
9,36087,prior_elicitation,nondistinctive,3,10,catprop,zorbs,orange,tails
9,10730,prior_elicitation,danger-distinct,4,1,catprop,kazzes,orange,ears
9,25704,prior_elicitation,nondistinctive,5,5,catprop,feps,pink,legs
9,7400,prior_elicitation,danger-distinct,6,1,catprop,krivels,pink,teeth
9,12784,prior_elicitation,bare,7,50,catprop,elleps,pink,ears
9,9650,prior_elicitation,bare,8,30,catprop,javs,purple,shells
9,5513,prior_elicitation,bare,9,50,catprop,kweps,copper,fur
9,9423,prior_elicitation,bare,10,50,catprop,cheebas,blue,ears
9,17040,prior_elicitation,nondistinctive,11,60,catprop,dorbs,yellow,scales
9,11960,prior_elicitation,danger-distinct,12,100,catprop,frams,silver,stripes
9,10007,prior_elicitation,bare,13,0,catprop,zoovs,green,teeth
9,10458,prior_elicitation,danger-distinct,14,100,catprop,ludinos,yellow,legs
9,17912,prior_elicitation,danger-distinct,15,0,catprop,daiths,gold,stripes
9,6968,prior_elicitation,bare,16,20,catprop,mooks,copper,stripes
9,12031,prior_elicitation,nondistinctive,17,50,catprop,trufts,green,tails
9,9136,prior_elicitation,nondistinctive,18,60,catprop,ackles,silver,legs
9,10610,prior_elicitation,nondistinctive,19,100,catprop,thups,blue,teeth
9,6752,prior_elicitation,bare,20,50,catprop,lorches,purple,feathers
9,5280,prior_elicitation,bare,21,50,catprop,morseths,silver,fur
9,9944,prior_elicitation,nondistinctive,22,95,catprop,sapers,red,spots
9,89417,prior_elicitation,danger-distinct,23,0,catprop,noobs,red,feathers
9,8514,prior_elicitation,danger-distinct,24,100,catprop,taifels,purple,tails
9,7353,prior_elicitation,danger-distinct,25,100,catprop,moxes,green,shells
9,8023,prior_elicitation,nondistinctive,26,80,catprop,plovs,gold,feathers
9,8080,prior_elicitation,nondistinctive,27,50,catprop,ollers,yellow,fur
9,9192,prior_elicitation,nondistinctive,28,100,catprop,glippets,copper,spots
9,8264,prior_elicitation,danger-distinct,29,100,catprop,luzaks,orange,shells
10,34479,prior_elicitation,bare,0,10,catprop,blins,red,scales
10,3520,prior_elicitation,bare,1,20,catprop,reesles,blue,scales
10,7110,prior_elicitation,danger-distinct,2,5,catprop,stups,gold,spots
10,4066,prior_elicitation,nondistinctive,3,5,catprop,sapers,red,spots
10,2734,prior_elicitation,danger-distinct,4,15,catprop,zoovs,green,teeth
10,4407,prior_elicitation,nondistinctive,5,20,catprop,ollers,yellow,fur
10,3480,prior_elicitation,nondistinctive,6,10,catprop,plovs,gold,feathers
10,3831,prior_elicitation,danger-distinct,7,15,catprop,luzaks,orange,shells
10,9304,prior_elicitation,danger-distinct,8,10,catprop,lorches,purple,feathers
10,4415,prior_elicitation,nondistinctive,9,15,catprop,elleps,pink,ears
10,13911,prior_elicitation,nondistinctive,10,14,catprop,cheebas,blue,ears
10,5904,prior_elicitation,danger-distinct,11,20,catprop,kweps,copper,fur
10,2986,prior_elicitation,bare,12,10,catprop,dorbs,yellow,scales
10,2430,prior_elicitation,bare,13,20,catprop,kazzes,orange,ears
10,1743,prior_elicitation,nondistinctive,14,15,catprop,mooks,copper,stripes
10,2680,prior_elicitation,bare,15,5,catprop,morseths,silver,fur
10,1803,prior_elicitation,bare,16,15,catprop,glippets,copper,spots
10,3589,prior_elicitation,danger-distinct,17,3,catprop,javs,purple,shells
10,1768,prior_elicitation,bare,18,2,catprop,frams,silver,stripes
10,1887,prior_elicitation,danger-distinct,19,12,catprop,feps,pink,legs
10,1415,prior_elicitation,nondistinctive,20,3,catprop,daiths,gold,stripes
10,2945,prior_elicitation,danger-distinct,21,6,catprop,noobs,red,feathers
10,1847,prior_elicitation,nondistinctive,22,12,catprop,zorbs,orange,tails
10,1488,prior_elicitation,danger-distinct,23,13,catprop,thups,blue,teeth
10,1935,prior_elicitation,nondistinctive,24,16,catprop,ackles,silver,legs
10,2577,prior_elicitation,bare,25,32,catprop,taifels,purple,tails
10,1479,prior_elicitation,bare,26,23,catprop,ludinos,yellow,legs
10,1847,prior_elicitation,nondistinctive,27,12,catprop,krivels,pink,teeth
10,1391,prior_elicitation,bare,28,15,catprop,trufts,green,tails
10,1936,prior_elicitation,danger-distinct,29,32,catprop,moxes,green,shells
11,23733,prior_elicitation,nondistinctive,0,20,catprop,ackles,silver,legs
11,10378,prior_elicitation,bare,1,80,catprop,lorches,purple,feathers
11,8856,prior_elicitation,nondistinctive,2,25,catprop,moxes,green,shells
11,8086,prior_elicitation,nondistinctive,3,100,catprop,trufts,green,tails
11,9158,prior_elicitation,danger-distinct,4,10,catprop,kazzes,orange,ears
11,10053,prior_elicitation,danger-distinct,5,90,catprop,kweps,copper,fur
11,2502,prior_elicitation,nondistinctive,6,45,catprop,javs,purple,shells
11,7877,prior_elicitation,bare,7,2,catprop,feps,pink,legs
11,4055,prior_elicitation,bare,8,30,catprop,glippets,copper,spots
11,6944,prior_elicitation,danger-distinct,9,25,catprop,taifels,purple,tails
11,4560,prior_elicitation,danger-distinct,10,2,catprop,zorbs,orange,tails
11,4622,prior_elicitation,bare,11,90,catprop,morseths,silver,fur
11,7855,prior_elicitation,danger-distinct,12,75,catprop,luzaks,orange,shells
11,15061,prior_elicitation,nondistinctive,13,45,catprop,elleps,pink,ears
11,4030,prior_elicitation,nondistinctive,14,60,catprop,plovs,gold,feathers
11,8549,prior_elicitation,bare,15,15,catprop,daiths,gold,stripes
11,8913,prior_elicitation,danger-distinct,16,80,catprop,noobs,red,feathers
11,5512,prior_elicitation,bare,17,99,catprop,frams,silver,stripes
11,3427,prior_elicitation,bare,18,100,catprop,ludinos,yellow,legs
11,5067,prior_elicitation,bare,19,40,catprop,sapers,red,spots
11,4438,prior_elicitation,nondistinctive,20,80,catprop,stups,gold,spots
11,4275,prior_elicitation,danger-distinct,21,70,catprop,mooks,copper,stripes
11,4546,prior_elicitation,nondistinctive,22,100,catprop,thups,blue,teeth
11,10900,prior_elicitation,danger-distinct,23,30,catprop,cheebas,blue,ears
11,5613,prior_elicitation,danger-distinct,24,50,catprop,blins,red,scales
11,5147,prior_elicitation,nondistinctive,25,90,catprop,reesles,blue,scales
11,5176,prior_elicitation,bare,26,20,catprop,krivels,pink,teeth
11,6395,prior_elicitation,danger-distinct,27,40,catprop,dorbs,yellow,scales
11,2755,prior_elicitation,nondistinctive,28,60,catprop,ollers,yellow,fur
11,4077,prior_elicitation,bare,29,30,catprop,zoovs,green,teeth
12,25143,prior_elicitation,nondistinctive,0,50,catprop,dorbs,yellow,scales
12,10191,prior_elicitation,nondistinctive,1,20,catprop,reesles,blue,scales
12,10901,prior_elicitation,danger-distinct,2,5,catprop,moxes,green,shells
12,13545,prior_elicitation,danger-distinct,3,50,catprop,mooks,copper,stripes
12,6266,prior_elicitation,bare,4,80,catprop,zorbs,orange,tails
12,4635,prior_elicitation,bare,5,40,catprop,kazzes,orange,ears
12,9585,prior_elicitation,nondistinctive,6,50,catprop,luzaks,orange,shells
12,10429,prior_elicitation,danger-distinct,7,70,catprop,ollers,yellow,fur
12,5760,prior_elicitation,bare,8,80,catprop,lorches,purple,feathers
12,8573,prior_elicitation,nondistinctive,9,65,catprop,sapers,red,spots
12,24322,prior_elicitation,nondistinctive,10,25,catprop,blins,red,scales
12,10508,prior_elicitation,danger-distinct,11,45,catprop,morseths,silver,fur
12,4522,prior_elicitation,bare,12,65,catprop,kweps,copper,fur
12,7605,prior_elicitation,nondistinctive,13,90,catprop,ackles,silver,legs
12,4388,prior_elicitation,bare,14,50,catprop,elleps,pink,ears
12,9754,prior_elicitation,danger-distinct,15,50,catprop,stups,gold,spots
