"","workerid","rt","trial_type","stim_type","trial_num","stim_determiner","stim_color","stim_part","response","stim_category"
"66",2,8408,"implied_prevalence","nondistinctive",5,"generic","gold","feathers",50,"plovs"
"67",2,9927,"implied_prevalence","danger-distinct",6,"generic","silver","stripes",100,"frams"
"68",2,6105,"implied_prevalence","danger-distinct",7,"generic","purple","shells",100,"javs"
"69",2,8191,"implied_prevalence","nondistinctive",8,"generic","pink","ears",100,"elleps"
"70",2,5758,"implied_prevalence","bare",9,"generic","gold","stripes",100,"daiths"
"71",2,7360,"implied_prevalence","nondistinctive",10,"generic","orange","shells",100,"luzaks"
"72",2,7039,"implied_prevalence","nondistinctive",11,"generic","copper","spots",100,"glippets"
"73",2,7504,"implied_prevalence","nondistinctive",12,"generic","yellow","legs",100,"ludinos"
"74",2,6959,"implied_prevalence","danger-distinct",13,"generic","red","scales",100,"blins"
"75",2,4817,"implied_prevalence","bare",14,"generic","purple","feathers",100,"lorches"
"76",2,5006,"implied_prevalence","bare",15,"generic","yellow","scales",100,"dorbs"
"77",2,4423,"implied_prevalence","nondistinctive",16,"generic","green","tails",100,"trufts"
"78",2,2184,"implied_prevalence","danger-distinct",17,"generic","orange","ears",100,"kazzes"
"79",2,2328,"implied_prevalence","bare",18,"generic","pink","legs",100,"feps"
"80",2,2319,"implied_prevalence","bare",19,"generic","purple","tails",100,"taifels"
"81",2,4448,"implied_prevalence","nondistinctive",20,"generic","copper","fur",100,"kweps"
"82",2,8976,"implied_prevalence","danger-distinct",21,"generic","red","spots",100,"sapers"
"83",2,2771,"implied_prevalence","danger-distinct",22,"generic","red","feathers",100,"noobs"
"84",2,3084,"implied_prevalence","danger-distinct",23,"generic","yellow","fur",100,"ollers"
"85",2,4591,"implied_prevalence","nondistinctive",24,"generic","blue","scales",100,"reesles"
"86",2,3152,"implied_prevalence","danger-distinct",25,"generic","orange","tails",100,"zorbs"
"87",2,3383,"implied_prevalence","danger-distinct",26,"generic","silver","legs",100,"ackles"
"88",2,6594,"implied_prevalence","bare",27,"generic","blue","ears",100,"cheebas"
"89",2,3654,"implied_prevalence","nondistinctive",28,"generic","blue","teeth",100,"thups"
"90",2,3775,"implied_prevalence","bare",29,"generic","green","teeth",100,"zoovs"
"91",3,24336,"implied_prevalence","danger-distinct",0,"generic","silver","legs",100,"ackles"
"92",3,12132,"implied_prevalence","danger-distinct",1,"generic","red","feathers",100,"noobs"
"93",3,6085,"implied_prevalence","danger-distinct",2,"generic","yellow","fur",100,"ollers"
"94",3,5582,"implied_prevalence","bare",3,"generic","gold","feathers",100,"plovs"
"95",3,7628,"implied_prevalence","nondistinctive",4,"generic","green","shells",100,"moxes"
"96",3,13078,"implied_prevalence","nondistinctive",5,"generic","copper","spots",100,"glippets"
"97",3,5192,"implied_prevalence","danger-distinct",6,"generic","gold","spots",100,"stups"
"98",3,5082,"implied_prevalence","danger-distinct",7,"generic","blue","ears",100,"cheebas"
"99",3,7889,"implied_prevalence","nondistinctive",8,"generic","pink","teeth",100,"krivels"
"100",3,5226,"implied_prevalence","nondistinctive",9,"generic","orange","tails",100,"zorbs"
"101",3,4187,"implied_prevalence","nondistinctive",10,"generic","pink","legs",100,"feps"
"102",3,4261,"implied_prevalence","bare",11,"generic","yellow","legs",100,"ludinos"
"103",3,4749,"implied_prevalence","nondistinctive",12,"generic","copper","stripes",100,"mooks"
"104",3,5099,"implied_prevalence","bare",13,"generic","silver","stripes",100,"frams"
"105",3,4206,"implied_prevalence","danger-distinct",14,"generic","purple","tails",100,"taifels"
"106",3,4443,"implied_prevalence","nondistinctive",15,"generic","purple","feathers",100,"lorches"
"107",3,3777,"implied_prevalence","bare",16,"generic","orange","ears",100,"kazzes"
"108",3,5868,"implied_prevalence","danger-distinct",17,"generic","orange","shells",100,"luzaks"
"109",3,4278,"implied_prevalence","danger-distinct",18,"generic","green","teeth",100,"zoovs"
"110",3,4159,"implied_prevalence","danger-distinct",19,"generic","blue","scales",100,"reesles"
"111",3,4015,"implied_prevalence","bare",20,"generic","yellow","scales",100,"dorbs"
"112",3,6444,"implied_prevalence","nondistinctive",21,"generic","red","scales",100,"blins"
"113",3,4690,"implied_prevalence","bare",22,"generic","silver","fur",100,"morseths"
"114",3,5701,"implied_prevalence","danger-distinct",23,"generic","gold","stripes",100,"daiths"
"115",3,3809,"implied_prevalence","bare",24,"generic","red","spots",100,"sapers"
"116",3,6338,"implied_prevalence","nondistinctive",25,"generic","copper","fur",100,"kweps"
"117",3,4013,"implied_prevalence","bare",26,"generic","blue","teeth",100,"thups"
"118",3,4385,"implied_prevalence","bare",27,"generic","purple","shells",100,"javs"
"119",3,5687,"implied_prevalence","nondistinctive",28,"generic","pink","ears",100,"elleps"
"120",3,4279,"implied_prevalence","bare",29,"generic","green","tails",100,"trufts"
"121",4,34178,"implied_prevalence","danger-distinct",0,"generic","green","teeth",100,"zoovs"
"122",4,34891,"implied_prevalence","nondistinctive",1,"generic","blue","teeth",40,"thups"
"123",4,10928,"implied_prevalence","bare",2,"generic","pink","ears",100,"elleps"
"124",4,11904,"implied_prevalence","bare",3,"generic","red","spots",50,"sapers"
"125",4,21219,"implied_prevalence","nondistinctive",4,"generic","orange","tails",100,"zorbs"
"126",4,20318,"implied_prevalence","nondistinctive",5,"generic","purple","shells",100,"javs"
"127",4,8544,"implied_prevalence","nondistinctive",6,"generic","red","scales",100,"blins"
"128",4,5644,"implied_prevalence","bare",7,"generic","pink","legs",100,"feps"
"129",4,14646,"implied_prevalence","danger-distinct",8,"generic","yellow","legs",100,"ludinos"
"130",4,11148,"implied_prevalence","danger-distinct",9,"generic","purple","tails",100,"taifels"
"131",4,10567,"implied_prevalence","bare",10,"generic","red","feathers",50,"noobs"
"132",4,9136,"implied_prevalence","danger-distinct",11,"generic","yellow","scales",100,"dorbs"
"133",4,6604,"implied_prevalence","bare",12,"generic","green","tails",75,"trufts"
"134",4,11826,"implied_prevalence","danger-distinct",13,"generic","gold","feathers",50,"plovs"
"135",4,13067,"implied_prevalence","danger-distinct",14,"generic","yellow","fur",60,"ollers"
"136",4,7984,"implied_prevalence","nondistinctive",15,"generic","silver","legs",100,"ackles"
"137",4,4662,"implied_prevalence","bare",16,"generic","blue","scales",50,"reesles"
"138",4,3372,"implied_prevalence","bare",17,"generic","silver","stripes",100,"frams"
"139",4,10940,"implied_prevalence","nondistinctive",18,"generic","copper","stripes",50,"mooks"
"140",4,10515,"implied_prevalence","danger-distinct",19,"generic","gold","stripes",70,"daiths"
"141",4,10478,"implied_prevalence","nondistinctive",20,"generic","gold","spots",100,"stups"
"142",4,4438,"implied_prevalence","bare",21,"generic","orange","shells",100,"luzaks"
"143",4,7462,"implied_prevalence","danger-distinct",22,"generic","green","shells",100,"moxes"
"144",4,4694,"implied_prevalence","bare",23,"generic","silver","fur",50,"morseths"
"145",4,4060,"implied_prevalence","bare",24,"generic","pink","teeth",50,"krivels"
"146",4,7744,"implied_prevalence","danger-distinct",25,"generic","copper","spots",100,"glippets"
"147",4,5117,"implied_prevalence","nondistinctive",26,"generic","purple","feathers",100,"lorches"
"148",4,8011,"implied_prevalence","nondistinctive",27,"generic","blue","ears",100,"cheebas"
"149",4,5435,"implied_prevalence","nondistinctive",28,"generic","copper","fur",100,"kweps"
"150",4,5244,"implied_prevalence","danger-distinct",29,"generic","orange","ears",100,"kazzes"
"151",5,30648,"implied_prevalence","danger-distinct",0,"generic","yellow","legs",90,"ludinos"
"152",5,7055,"implied_prevalence","bare",1,"generic","green","tails",100,"trufts"
"153",5,8463,"implied_prevalence","danger-distinct",2,"generic","silver","fur",90,"morseths"
"154",5,8224,"implied_prevalence","nondistinctive",3,"generic","blue","scales",95,"reesles"
"155",5,8840,"implied_prevalence","nondistinctive",4,"generic","purple","tails",90,"taifels"
"156",5,4024,"implied_prevalence","bare",5,"generic","gold","spots",100,"stups"
"157",5,3336,"implied_prevalence","bare",6,"generic","green","shells",100,"moxes"
"158",5,4872,"implied_prevalence","danger-distinct",7,"generic","orange","tails",90,"zorbs"
"159",5,6832,"implied_prevalence","bare",8,"generic","pink","teeth",95,"krivels"
"160",5,10536,"implied_prevalence","danger-distinct",9,"generic","red","spots",90,"sapers"
"161",5,6127,"implied_prevalence","danger-distinct",10,"generic","red","feathers",90,"noobs"
"162",5,31153,"implied_prevalence","danger-distinct",11,"generic","red","scales",90,"blins"
"163",5,8552,"implied_prevalence","bare",12,"generic","yellow","scales",100,"dorbs"
"164",5,3120,"implied_prevalence","bare",13,"generic","purple","feathers",100,"lorches"
"165",5,4047,"implied_prevalence","bare",14,"generic","silver","stripes",100,"frams"
"166",5,6008,"implied_prevalence","nondistinctive",15,"generic","copper","spots",90,"glippets"
"167",5,3873,"implied_prevalence","danger-distinct",16,"generic","copper","stripes",95,"mooks"
"168",5,3856,"implied_prevalence","nondistinctive",17,"generic","yellow","fur",95,"ollers"
"169",5,2559,"implied_prevalence","nondistinctive",18,"generic","orange","shells",95,"luzaks"
"170",5,2904,"implied_prevalence","bare",19,"generic","orange","ears",100,"kazzes"
"171",5,3360,"implied_prevalence","nondistinctive",20,"generic","gold","feathers",90,"plovs"
"172",5,7520,"implied_prevalence","nondistinctive",21,"generic","green","teeth",85,"zoovs"
"173",5,3055,"implied_prevalence","nondistinctive",22,"generic","gold","stripes",90,"daiths"
"174",5,6040,"implied_prevalence","danger-distinct",23,"generic","blue","teeth",90,"thups"
"175",5,8521,"implied_prevalence","bare",24,"generic","copper","fur",90,"kweps"
"176",5,18238,"implied_prevalence","nondistinctive",25,"generic","silver","legs",90,"ackles"
"177",5,14411,"implied_prevalence","danger-distinct",26,"generic","purple","shells",90,"javs"
"178",5,3934,"implied_prevalence","danger-distinct",27,"generic","blue","ears",80,"cheebas"
"179",5,6144,"implied_prevalence","bare",28,"generic","pink","legs",95,"feps"
"180",5,2598,"implied_prevalence","nondistinctive",29,"generic","pink","ears",90,"elleps"
"181",6,19519,"implied_prevalence","danger-distinct",0,"generic","copper","spots",100,"glippets"
"182",6,11581,"implied_prevalence","nondistinctive",1,"generic","blue","ears",100,"cheebas"
"183",6,6756,"implied_prevalence","bare",2,"generic","orange","tails",100,"zorbs"
"184",6,5785,"implied_prevalence","bare",3,"generic","gold","spots",100,"stups"
"185",6,12956,"implied_prevalence","danger-distinct",4,"generic","silver","fur",100,"morseths"
"186",6,9933,"implied_prevalence","danger-distinct",5,"generic","blue","teeth",100,"thups"
"187",6,11756,"implied_prevalence","nondistinctive",6,"generic","purple","tails",100,"taifels"
"188",6,14164,"implied_prevalence","danger-distinct",7,"generic","orange","shells",100,"luzaks"
"189",6,6086,"implied_prevalence","bare",8,"generic","yellow","scales",100,"dorbs"
"190",6,5715,"implied_prevalence","bare",9,"generic","gold","feathers",100,"plovs"
"191",6,6502,"implied_prevalence","nondistinctive",10,"generic","yellow","fur",100,"ollers"
"192",6,10744,"implied_prevalence","danger-distinct",11,"generic","silver","legs",100,"ackles"
"193",6,12116,"implied_prevalence","danger-distinct",12,"generic","silver","stripes",100,"frams"
"194",6,7189,"implied_prevalence","bare",13,"generic","yellow","legs",100,"ludinos"
"195",6,9294,"implied_prevalence","danger-distinct",14,"generic","red","scales",100,"blins"
"196",6,10270,"implied_prevalence","nondistinctive",15,"generic","purple","shells",100,"javs"
"197",6,7110,"implied_prevalence","danger-distinct",16,"generic","green","tails",100,"trufts"
"198",6,9900,"implied_prevalence","nondistinctive",17,"generic","pink","legs",100,"feps"
"199",6,7583,"implied_prevalence","bare",18,"generic","copper","fur",100,"kweps"
"200",6,5491,"implied_prevalence","bare",19,"generic","pink","ears",100,"elleps"
"201",6,5140,"implied_prevalence","bare",20,"generic","green","teeth",100,"zoovs"
"202",6,6008,"implied_prevalence","bare",21,"generic","green","shells",100,"moxes"
"203",6,7090,"implied_prevalence","nondistinctive",22,"generic","copper","stripes",100,"mooks"
"204",6,12049,"implied_prevalence","nondistinctive",23,"generic","purple","feathers",100,"lorches"
"205",6,56382,"implied_prevalence","nondistinctive",24,"generic","pink","teeth",100,"krivels"
"206",6,15390,"implied_prevalence","danger-distinct",25,"generic","orange","ears",50,"kazzes"
"207",6,5591,"implied_prevalence","bare",26,"generic","gold","stripes",100,"daiths"
"208",6,7572,"implied_prevalence","danger-distinct",27,"generic","red","feathers",100,"noobs"
"209",6,8268,"implied_prevalence","nondistinctive",28,"generic","blue","scales",100,"reesles"
"210",6,10294,"implied_prevalence","nondistinctive",29,"generic","red","spots",100,"sapers"
"211",7,9751,"implied_prevalence","bare",0,"generic","green","teeth",92,"zoovs"
"212",7,34551,"implied_prevalence","nondistinctive",1,"generic","pink","legs",86,"feps"
"213",7,19159,"implied_prevalence","danger-distinct",2,"generic","gold","spots",94,"stups"
"214",7,11112,"implied_prevalence","nondistinctive",3,"generic","red","spots",65,"sapers"
"215",7,8363,"implied_prevalence","nondistinctive",4,"generic","red","scales",72,"blins"
"216",7,10882,"implied_prevalence","bare",5,"generic","orange","tails",92,"zorbs"
"217",7,21458,"implied_prevalence","nondistinctive",6,"generic","silver","stripes",72,"frams"
"218",7,5517,"implied_prevalence","bare",7,"generic","copper","spots",85,"glippets"
"219",7,63194,"implied_prevalence","danger-distinct",8,"generic","copper","fur",85,"kweps"
"220",7,13330,"implied_prevalence","danger-distinct",9,"generic","copper","stripes",88,"mooks"
"221",7,6157,"implied_prevalence","nondistinctive",10,"generic","blue","teeth",65,"thups"
"222",7,5652,"implied_prevalence","danger-distinct",11,"generic","yellow","legs",87,"ludinos"
"223",7,8525,"implied_prevalence","danger-distinct",12,"generic","purple","feathers",92,"lorches"
"224",7,10423,"implied_prevalence","nondistinctive",13,"generic","green","tails",85,"trufts"
"225",7,8833,"implied_prevalence","danger-distinct",14,"generic","orange","ears",90,"kazzes"
"226",7,6701,"implied_prevalence","danger-distinct",15,"generic","purple","shells",92,"javs"
"227",7,4990,"implied_prevalence","bare",16,"generic","red","feathers",86,"noobs"
"228",7,25045,"implied_prevalence","nondistinctive",17,"generic","gold","feathers",45,"plovs"
"229",7,12203,"implied_prevalence","danger-distinct",18,"generic","pink","teeth",85,"krivels"
"230",7,14000,"implied_prevalence","bare",19,"generic","green","shells",65,"moxes"
"231",7,12001,"implied_prevalence","danger-distinct",20,"generic","yellow","scales",85,"dorbs"
"232",7,61031,"implied_prevalence","bare",21,"generic","yellow","fur",65,"ollers"
"233",7,5173,"implied_prevalence","bare",22,"generic","gold","stripes",65,"daiths"
"234",7,6361,"implied_prevalence","bare",23,"generic","blue","scales",85,"reesles"
"235",7,7476,"implied_prevalence","nondistinctive",24,"generic","blue","ears",45,"cheebas"
"236",7,4897,"implied_prevalence","bare",25,"generic","silver","legs",65,"ackles"
"237",7,5621,"implied_prevalence","nondistinctive",26,"generic","silver","fur",85,"morseths"
"238",7,9469,"implied_prevalence","nondistinctive",27,"generic","orange","shells",68,"luzaks"
"239",7,15018,"implied_prevalence","danger-distinct",28,"generic","purple","tails",89,"taifels"
"240",7,5899,"implied_prevalence","bare",29,"generic","pink","ears",45,"elleps"
"241",8,32727,"implied_prevalence","nondistinctive",0,"generic","green","tails",10,"trufts"
"242",8,9527,"implied_prevalence","bare",1,"generic","copper","fur",10,"kweps"
"243",8,6848,"implied_prevalence","bare",2,"generic","copper","stripes",10,"mooks"
"244",8,13785,"implied_prevalence","nondistinctive",3,"generic","silver","stripes",10,"frams"
"245",8,9634,"implied_prevalence","nondistinctive",4,"generic","orange","shells",10,"luzaks"
"246",8,5406,"implied_prevalence","bare",5,"generic","pink","legs",10,"feps"
"247",8,3727,"implied_prevalence","bare",6,"generic","purple","shells",10,"javs"
"248",8,5308,"implied_prevalence","bare",7,"generic","purple","feathers",10,"lorches"
"249",8,6486,"implied_prevalence","nondistinctive",8,"generic","pink","teeth",5,"krivels"
"250",8,8494,"implied_prevalence","danger-distinct",9,"generic","green","shells",2,"moxes"
"251",8,5545,"implied_prevalence","bare",10,"generic","purple","tails",10,"taifels"
"252",8,5229,"implied_prevalence","nondistinctive",11,"generic","silver","fur",5,"morseths"
"253",8,4159,"implied_prevalence","nondistinctive",12,"generic","silver","legs",10,"ackles"
"254",8,4549,"implied_prevalence","nondistinctive",13,"generic","gold","spots",5,"stups"
"255",8,3635,"implied_prevalence","nondistinctive",14,"generic","gold","feathers",5,"plovs"
"256",8,5051,"implied_prevalence","danger-distinct",15,"generic","yellow","legs",2,"ludinos"
"257",8,2699,"implied_prevalence","danger-distinct",16,"generic","blue","ears",2,"cheebas"
"258",8,4079,"implied_prevalence","bare",17,"generic","orange","ears",5,"kazzes"
"259",8,3780,"implied_prevalence","danger-distinct",18,"generic","blue","teeth",2,"thups"
"260",8,2538,"implied_prevalence","danger-distinct",19,"generic","orange","tails",2,"zorbs"
"261",8,4104,"implied_prevalence","bare",20,"generic","green","teeth",5,"zoovs"
"262",8,3964,"implied_prevalence","danger-distinct",21,"generic","yellow","fur",2,"ollers"
"263",8,2476,"implied_prevalence","danger-distinct",22,"generic","red","spots",2,"sapers"
"264",8,4752,"implied_prevalence","danger-distinct",23,"generic","yellow","scales",2,"dorbs"
"265",8,3671,"implied_prevalence","nondistinctive",24,"generic","red","scales",5,"blins"
"266",8,5917,"implied_prevalence","bare",25,"generic","copper","spots",5,"glippets"
"267",8,5113,"implied_prevalence","danger-distinct",26,"generic","red","feathers",2,"noobs"
"268",8,7645,"implied_prevalence","bare",27,"generic","blue","scales",5,"reesles"
"269",8,5073,"implied_prevalence","danger-distinct",28,"generic","gold","stripes",2,"daiths"
"270",8,2955,"implied_prevalence","nondistinctive",29,"generic","pink","ears",5,"elleps"
"271",9,4583,"implied_prevalence","bare",0,"generic","gold","feathers",100,"plovs"
"272",9,8072,"implied_prevalence","nondistinctive",1,"generic","red","spots",100,"sapers"
"273",9,3495,"implied_prevalence","bare",2,"generic","green","teeth",100,"zoovs"
"274",9,4687,"implied_prevalence","danger-distinct",3,"generic","green","tails",100,"trufts"
"275",9,3368,"implied_prevalence","danger-distinct",4,"generic","pink","teeth",100,"krivels"
"276",9,3201,"implied_prevalence","bare",5,"generic","silver","fur",100,"morseths"
"277",9,5135,"implied_prevalence","danger-distinct",6,"generic","purple","shells",100,"javs"
"278",9,3079,"implied_prevalence","bare",7,"generic","gold","spots",100,"stups"
"279",9,3183,"implied_prevalence","danger-distinct",8,"generic","gold","stripes",100,"daiths"
"280",9,2919,"implied_prevalence","danger-distinct",9,"generic","silver","legs",100,"ackles"
"281",9,3217,"implied_prevalence","bare",10,"generic","orange","ears",100,"kazzes"
"282",9,3616,"implied_prevalence","nondistinctive",11,"generic","green","shells",100,"moxes"
"283",9,3720,"implied_prevalence","bare",12,"generic","pink","legs",100,"feps"
"284",9,3703,"implied_prevalence","danger-distinct",13,"generic","pink","ears",100,"elleps"
"285",9,1368,"implied_prevalence","nondistinctive",14,"generic","yellow","legs",100,"ludinos"
"286",9,1520,"implied_prevalence","bare",15,"generic","orange","tails",100,"zorbs"
"287",9,3449,"implied_prevalence","danger-distinct",16,"generic","yellow","scales",100,"dorbs"
"288",9,2040,"implied_prevalence","nondistinctive",17,"generic","copper","fur",100,"kweps"
"289",9,3671,"implied_prevalence","nondistinctive",18,"generic","silver","stripes",100,"frams"
"290",9,1447,"implied_prevalence","bare",19,"generic","orange","shells",100,"luzaks"
"291",9,1847,"implied_prevalence","nondistinctive",20,"generic","blue","ears",100,"cheebas"
"292",9,1440,"implied_prevalence","nondistinctive",21,"generic","purple","feathers",100,"lorches"
"293",9,1448,"implied_prevalence","nondistinctive",22,"generic","purple","tails",100,"taifels"
"294",9,1857,"implied_prevalence","bare",23,"generic","red","scales",100,"blins"
"295",9,2137,"implied_prevalence","danger-distinct",24,"generic","yellow","fur",100,"ollers"
"296",9,1880,"implied_prevalence","nondistinctive",25,"generic","blue","scales",100,"reesles"
"297",9,5648,"implied_prevalence","nondistinctive",26,"generic","blue","teeth",100,"thups"
"298",9,1807,"implied_prevalence","bare",27,"generic","copper","stripes",100,"mooks"
"299",9,1984,"implied_prevalence","danger-distinct",28,"generic","copper","spots",100,"glippets"
"300",9,1552,"implied_prevalence","danger-distinct",29,"generic","red","feathers",100,"noobs"
"301",10,17255,"implied_prevalence","danger-distinct",0,"generic","silver","fur",100,"morseths"
"302",10,5191,"implied_prevalence","bare",1,"generic","gold","feathers",100,"plovs"
"303",10,8344,"implied_prevalence","nondistinctive",2,"generic","copper","fur",100,"kweps"
"304",10,7343,"implied_prevalence","nondistinctive",3,"generic","pink","ears",100,"elleps"
"305",10,5129,"implied_prevalence","bare",4,"generic","yellow","scales",100,"dorbs"
"306",10,6728,"implied_prevalence","nondistinctive",5,"generic","pink","teeth",100,"krivels"
"307",10,6368,"implied_prevalence","bare",6,"generic","yellow","fur",100,"ollers"
"308",10,9376,"implied_prevalence","nondistinctive",7,"generic","pink","legs",100,"feps"
"309",10,9152,"implied_prevalence","danger-distinct",8,"generic","purple","feathers",100,"lorches"
"310",10,7592,"implied_prevalence","danger-distinct",9,"generic","blue","scales",100,"reesles"
"311",10,6840,"implied_prevalence","nondistinctive",10,"generic","red","spots",100,"sapers"
"312",10,3624,"implied_prevalence","bare",11,"generic","purple","shells",100,"javs"
"313",10,7360,"implied_prevalence","danger-distinct",12,"generic","copper","stripes",100,"mooks"
"314",10,4448,"implied_prevalence","bare",13,"generic","blue","teeth",100,"thups"
"315",10,5608,"implied_prevalence","danger-distinct",14,"generic","green","shells",100,"moxes"
"316",10,6216,"implied_prevalence","danger-distinct",15,"generic","green","teeth",100,"zoovs"
"317",10,6824,"implied_prevalence","danger-distinct",16,"generic","purple","tails",100,"taifels"
"318",10,2983,"implied_prevalence","bare",17,"generic","orange","ears",100,"kazzes"
"319",10,7383,"implied_prevalence","danger-distinct",18,"generic","gold","spots",100,"stups"
"320",10,5447,"implied_prevalence","nondistinctive",19,"generic","orange","shells",100,"luzaks"
"321",10,3424,"implied_prevalence","bare",20,"generic","silver","legs",100,"ackles"
"322",10,6175,"implied_prevalence","danger-distinct",21,"generic","blue","ears",100,"cheebas"
"323",10,3111,"implied_prevalence","bare",22,"generic","orange","tails",100,"zorbs"
"324",10,5080,"implied_prevalence","nondistinctive",23,"generic","red","scales",100,"blins"
