Parameter,Item,Prevalence,Value,Probability
accidental_high,response0,delta,1.450130739249289,0.0015000000000000154
accidental_high,response1,gamma,0.3967073664534837,0.0015000000000000154
accidental_high,response1,delta,1.9500208785757422,0.0015000000000000154
color,response0,gamma,0.3912901752628386,0.0005600000000000061
color,response0,delta,1.824869483243674,0.0005600000000000061
color,response1,gamma,0.6029652012512088,0.0005600000000000061
color,response1,delta,1.3623540522530675,0.0005600000000000061
vague,response0,gamma,0.6425738872494549,0.0005600000000000061
vague,response0,delta,2.315705828368664,0.0005600000000000061
vague,response1,gamma,0.7826307194773108,0.0005600000000000061
vague,response1,delta,2.7702787541784346,0.0005600000000000061
accidental_low,response0,gamma,0.39712203736416996,0.0005600000000000061
accidental_low,response0,delta,1.4728654408827424,0.0005600000000000061
accidental_low,response1,gamma,0.22815598314628005,0.0005600000000000061
accidental_low,response1,delta,3.0625910847447813,0.0005600000000000061
part,response0,gamma,0.7885053418576717,0.0005600000000000061
part,response0,delta,2.7144237188622355,0.0005600000000000061
part,response1,gamma,0.8833875416312367,0.0005600000000000061
part,response1,delta,3.774251416325569,0.0005600000000000061
accidental_high,response0,gamma,0.44850972993299365,0.0005600000000000061
accidental_high,response0,delta,1.450130739249289,0.0005600000000000061
accidental_high,response1,gamma,0.3967073664534837,0.0005600000000000061
accidental_high,response1,delta,1.9500208785757422,0.0005600000000000061
color,response0,gamma,0.3912901752628386,0.0000600000000000006
color,response0,delta,1.824869483243674,0.0000600000000000006
color,response1,gamma,0.6029652012512088,0.0000600000000000006
color,response1,delta,1.3623540522530675,0.0000600000000000006
vague,response0,gamma,0.6425738872494549,0.0000600000000000006
vague,response0,delta,2.315705828368664,0.0000600000000000006
vague,response1,gamma,0.7739419776480645,0.0000600000000000006
vague,response1,delta,2.7702787541784346,0.0000600000000000006
accidental_low,response0,gamma,0.39712203736416996,0.0000600000000000006
accidental_low,response0,delta,1.4728654408827424,0.0000600000000000006
accidental_low,response1,gamma,0.22815598314628005,0.0000600000000000006
accidental_low,response1,delta,3.0625910847447813,0.0000600000000000006
part,response0,gamma,0.7885053418576717,0.0000600000000000006
part,response0,delta,2.7144237188622355,0.0000600000000000006
part,response1,gamma,0.8833875416312367,0.0000600000000000006
part,response1,delta,3.774251416325569,0.0000600000000000006
accidental_high,response0,gamma,0.44850972993299365,0.0000600000000000006
accidental_high,response0,delta,1.450130739249289,0.0000600000000000006
accidental_high,response1,gamma,0.3967073664534837,0.0000600000000000006
accidental_high,response1,delta,1.9500208785757422,0.0000600000000000006
color,response0,gamma,0.4054316997062415,0.00012000000000000121
color,response0,delta,1.824869483243674,0.00012000000000000121
color,response1,gamma,0.6029652012512088,0.00012000000000000121
color,response1,delta,1.3623540522530675,0.00012000000000000121
vague,response0,gamma,0.6425738872494549,0.00012000000000000121
vague,response0,delta,2.315705828368664,0.00012000000000000121
vague,response1,gamma,0.7739419776480645,0.00012000000000000121
vague,response1,delta,2.7702787541784346,0.00012000000000000121
accidental_low,response0,gamma,0.39712203736416996,0.00012000000000000121
accidental_low,response0,delta,1.4728654408827424,0.00012000000000000121
accidental_low,response1,gamma,0.22815598314628005,0.00012000000000000121
accidental_low,response1,delta,3.0625910847447813,0.00012000000000000121
part,response0,gamma,0.7885053418576717,0.00012000000000000121
part,response0,delta,2.7144237188622355,0.00012000000000000121
part,response1,gamma,0.8833875416312367,0.00012000000000000121
part,response1,delta,3.774251416325569,0.00012000000000000121
accidental_high,response0,gamma,0.44850972993299365,0.00012000000000000121
accidental_high,response0,delta,1.450130739249289,0.00012000000000000121
accidental_high,response1,gamma,0.3967073664534837,0.00012000000000000121
accidental_high,response1,delta,1.9500208785757422,0.00012000000000000121
color,response0,gamma,0.4054316997062415,0.0001400000000000015
color,response0,delta,1.824869483243674,0.0001400000000000015
color,response1,gamma,0.6029652012512088,0.0001400000000000015
color,response1,delta,1.3623540522530675,0.0001400000000000015
vague,response0,gamma,0.6402016759384423,0.0001400000000000015
vague,response0,delta,2.315705828368664,0.0001400000000000015
vague,response1,gamma,0.7739419776480645,0.0001400000000000015
vague,response1,delta,2.7702787541784346,0.0001400000000000015
accidental_low,response0,gamma,0.39712203736416996,0.0001400000000000015
accidental_low,response0,delta,1.4728654408827424,0.0001400000000000015
accidental_low,response1,gamma,0.22815598314628005,0.0001400000000000015
accidental_low,response1,delta,3.0625910847447813,0.0001400000000000015
part,response0,gamma,0.7885053418576717,0.0001400000000000015
part,response0,delta,2.7144237188622355,0.0001400000000000015
part,response1,gamma,0.8833875416312367,0.0001400000000000015
part,response1,delta,3.774251416325569,0.0001400000000000015
accidental_high,response0,gamma,0.44850972993299365,0.0001400000000000015
accidental_high,response0,delta,1.450130739249289,0.0001400000000000015
accidental_high,response1,gamma,0.3967073664534837,0.0001400000000000015
accidental_high,response1,delta,1.9500208785757422,0.0001400000000000015
color,response0,gamma,0.4054316997062415,0.00008000000000000086
color,response0,delta,1.824869483243674,0.00008000000000000086
color,response1,gamma,0.6029652012512088,0.00008000000000000086
color,response1,delta,1.3623540522530675,0.00008000000000000086
vague,response0,gamma,0.6402016759384423,0.00008000000000000086
vague,response0,delta,2.315705828368664,0.00008000000000000086
vague,response1,gamma,0.7739419776480645,0.00008000000000000086
vague,response1,delta,2.7702787541784346,0.00008000000000000086
accidental_low,response0,gamma,0.39712203736416996,0.00008000000000000086
accidental_low,response0,delta,1.4728654408827424,0.00008000000000000086
accidental_low,response1,gamma,0.21516985376365483,0.00008000000000000086
accidental_low,response1,delta,3.0625910847447813,0.00008000000000000086
part,response0,gamma,0.7885053418576717,0.00008000000000000086
part,response0,delta,2.7144237188622355,0.00008000000000000086
part,response1,gamma,0.8833875416312367,0.00008000000000000086
part,response1,delta,3.774251416325569,0.00008000000000000086
accidental_high,response0,gamma,0.44850972993299365,0.00008000000000000086
accidental_high,response0,delta,1.450130739249289,0.00008000000000000086
accidental_high,response1,gamma,0.3967073664534837,0.00008000000000000086
accidental_high,response1,delta,1.9500208785757422,0.00008000000000000086
color,response0,gamma,0.4054316997062415,0.0016400000000000177
color,response0,delta,1.824869483243674,0.0016400000000000177
color,response1,gamma,0.6029652012512088,0.0016400000000000177
color,response1,delta,1.3623540522530675,0.0016400000000000177
vague,response0,gamma,0.6402016759384423,0.0016400000000000177
vague,response0,delta,2.315705828368664,0.0016400000000000177
vague,response1,gamma,0.7776362823788077,0.0016400000000000177
vague,response1,delta,2.7702787541784346,0.0016400000000000177
accidental_low,response0,gamma,0.39712203736416996,0.0016400000000000177
accidental_low,response0,delta,1.4728654408827424,0.0016400000000000177
accidental_low,response1,gamma,0.21516985376365483,0.0016400000000000177
accidental_low,response1,delta,3.0625910847447813,0.0016400000000000177
part,response0,gamma,0.7885053418576717,0.0016400000000000177
part,response0,delta,2.7144237188622355,0.0016400000000000177
part,response1,gamma,0.8833875416312367,0.0016400000000000177
part,response1,delta,3.774251416325569,0.0016400000000000177
accidental_high,response0,gamma,0.44850972993299365,0.0016400000000000177
accidental_high,response0,delta,1.450130739249289,0.0016400000000000177
accidental_high,response1,gamma,0.3967073664534837,0.0016400000000000177
accidental_high,response1,delta,1.9500208785757422,0.0016400000000000177
color,response0,gamma,0.4054316997062415,0.0007200000000000075
color,response0,delta,1.824869483243674,0.0007200000000000075
color,response1,gamma,0.6029652012512088,0.0007200000000000075
color,response1,delta,1.3623540522530675,0.0007200000000000075
vague,response0,gamma,0.6402016759384423,0.0007200000000000075
vague,response0,delta,2.315705828368664,0.0007200000000000075
vague,response1,gamma,0.7776362823788077,0.0007200000000000075
vague,response1,delta,2.7702787541784346,0.0007200000000000075
accidental_low,response0,gamma,0.39712203736416996,0.0007200000000000075
accidental_low,response0,delta,1.4728654408827424,0.0007200000000000075
accidental_low,response1,gamma,0.21516985376365483,0.0007200000000000075
accidental_low,response1,delta,3.0625910847447813,0.0007200000000000075
part,response0,gamma,0.7885053418576717,0.0007200000000000075
part,response0,delta,2.576493681408465,0.0007200000000000075
part,response1,gamma,0.8833875416312367,0.0007200000000000075
part,response1,delta,3.774251416325569,0.0007200000000000075
accidental_high,response0,gamma,0.44850972993299365,0.0007200000000000075
accidental_high,response0,delta,1.450130739249289,0.0007200000000000075
accidental_high,response1,gamma,0.3967073664534837,0.0007200000000000075
accidental_high,response1,delta,1.9500208785757422,0.0007200000000000075
color,response0,gamma,0.4054316997062415,0.0016800000000000172
color,response0,delta,1.824869483243674,0.0016800000000000172
color,response1,gamma,0.6029652012512088,0.0016800000000000172
color,response1,delta,1.3623540522530675,0.0016800000000000172
vague,response0,gamma,0.6402016759384423,0.0016800000000000172
vague,response0,delta,2.315705828368664,0.0016800000000000172
vague,response1,gamma,0.7776362823788077,0.0016800000000000172
vague,response1,delta,2.7702787541784346,0.0016800000000000172
accidental_low,response0,gamma,0.39712203736416996,0.0016800000000000172
accidental_low,response0,delta,1.4728654408827424,0.0016800000000000172
accidental_low,response1,gamma,0.21516985376365483,0.0016800000000000172
accidental_low,response1,delta,3.1936981482431293,0.0016800000000000172
part,response0,gamma,0.7885053418576717,0.0016800000000000172
part,response0,delta,2.576493681408465,0.0016800000000000172
part,response1,gamma,0.8833875416312367,0.0016800000000000172
part,response1,delta,3.774251416325569,0.0016800000000000172
accidental_high,response0,gamma,0.44850972993299365,0.0016800000000000172
accidental_high,response0,delta,1.450130739249289,0.0016800000000000172
accidental_high,response1,gamma,0.3967073664534837,0.0016800000000000172
accidental_high,response1,delta,1.9500208785757422,0.0016800000000000172
color,response0,gamma,0.4054316997062415,0.00016000000000000172
color,response0,delta,1.824869483243674,0.00016000000000000172
color,response1,gamma,0.6029652012512088,0.00016000000000000172
color,response1,delta,1.3623540522530675,0.00016000000000000172
vague,response0,gamma,0.6402016759384423,0.00016000000000000172
vague,response0,delta,2.315705828368664,0.00016000000000000172
vague,response1,gamma,0.7776362823788077,0.00016000000000000172
vague,response1,delta,2.7702787541784346,0.00016000000000000172
accidental_low,response0,gamma,0.39712203736416996,0.00016000000000000172
accidental_low,response0,delta,1.4728654408827424,0.00016000000000000172
accidental_low,response1,gamma,0.21516985376365483,0.00016000000000000172
accidental_low,response1,delta,3.1936981482431293,0.00016000000000000172
part,response0,gamma,0.7885053418576717,0.00016000000000000172
part,response0,delta,2.576493681408465,0.00016000000000000172
part,response1,gamma,0.8833875416312367,0.00016000000000000172
part,response1,delta,3.774251416325569,0.00016000000000000172
accidental_high,response0,gamma,0.4510789450723678,0.00016000000000000172
accidental_high,response0,delta,1.450130739249289,0.00016000000000000172
accidental_high,response1,gamma,0.3967073664534837,0.00016000000000000172
accidental_high,response1,delta,1.9500208785757422,0.00016000000000000172
color,response0,gamma,0.4054316997062415,0.0006600000000000067
color,response0,delta,1.824869483243674,0.0006600000000000067
color,response1,gamma,0.6029652012512088,0.0006600000000000067
color,response1,delta,1.3623540522530675,0.0006600000000000067
vague,response0,gamma,0.6402016759384423,0.0006600000000000067
vague,response0,delta,2.315705828368664,0.0006600000000000067
vague,response1,gamma,0.7776362823788077,0.0006600000000000067
vague,response1,delta,2.332127990666777,0.0006600000000000067
accidental_low,response0,gamma,0.39712203736416996,0.0006600000000000067
accidental_low,response0,delta,1.4728654408827424,0.0006600000000000067
accidental_low,response1,gamma,0.21516985376365483,0.0006600000000000067
accidental_low,response1,delta,3.1936981482431293,0.0006600000000000067
part,response0,gamma,0.7885053418576717,0.0006600000000000067
part,response0,delta,2.576493681408465,0.0006600000000000067
part,response1,gamma,0.8833875416312367,0.0006600000000000067
part,response1,delta,3.774251416325569,0.0006600000000000067
accidental_high,response0,gamma,0.4510789450723678,0.0006600000000000067
accidental_high,response0,delta,1.450130739249289,0.0006600000000000067
accidental_high,response1,gamma,0.3967073664534837,0.0006600000000000067
accidental_high,response1,delta,1.9500208785757422,0.0006600000000000067
color,response0,gamma,0.4054316997062415,0.0030800000000000337
color,response0,delta,1.824869483243674,0.0030800000000000337
color,response1,gamma,0.6029652012512088,0.0030800000000000337
color,response1,delta,1.3623540522530675,0.0030800000000000337
vague,response0,gamma,0.6402016759384423,0.0030800000000000337
vague,response0,delta,2.315705828368664,0.0030800000000000337
vague,response1,gamma,0.7475812591146678,0.0030800000000000337
vague,response1,delta,2.332127990666777,0.0030800000000000337
accidental_low,response0,gamma,0.39712203736416996,0.0030800000000000337
accidental_low,response0,delta,1.4728654408827424,0.0030800000000000337
accidental_low,response1,gamma,0.21516985376365483,0.0030800000000000337
accidental_low,response1,delta,3.1936981482431293,0.0030800000000000337
part,response0,gamma,0.7885053418576717,0.0030800000000000337
part,response0,delta,2.576493681408465,0.0030800000000000337
part,response1,gamma,0.8833875416312367,0.0030800000000000337
part,response1,delta,3.774251416325569,0.0030800000000000337
accidental_high,response0,gamma,0.4510789450723678,0.0030800000000000337
accidental_high,response0,delta,1.450130739249289,0.0030800000000000337
accidental_high,response1,gamma,0.3967073664534837,0.0030800000000000337
accidental_high,response1,delta,1.9500208785757422,0.0030800000000000337
color,response0,gamma,0.4054316997062415,0.00010000000000000098
color,response0,delta,1.824869483243674,0.00010000000000000098
color,response1,gamma,0.6029652012512088,0.00010000000000000098
color,response1,delta,1.3623540522530675,0.00010000000000000098
vague,response0,gamma,0.6402016759384423,0.00010000000000000098
vague,response0,delta,2.315705828368664,0.00010000000000000098
vague,response1,gamma,0.755910046864301,0.00010000000000000098
vague,response1,delta,2.332127990666777,0.00010000000000000098
accidental_low,response0,gamma,0.39712203736416996,0.00010000000000000098
accidental_low,response0,delta,1.4728654408827424,0.00010000000000000098
accidental_low,response1,gamma,0.21516985376365483,0.00010000000000000098
accidental_low,response1,delta,3.1936981482431293,0.00010000000000000098
part,response0,gamma,0.7885053418576717,0.00010000000000000098
part,response0,delta,2.576493681408465,0.00010000000000000098
part,response1,gamma,0.8833875416312367,0.00010000000000000098
part,response1,delta,3.774251416325569,0.00010000000000000098
accidental_high,response0,gamma,0.4510789450723678,0.00010000000000000098
accidental_high,response0,delta,1.450130739249289,0.00010000000000000098
accidental_high,response1,gamma,0.3967073664534837,0.00010000000000000098
accidental_high,response1,delta,1.9500208785757422,0.00010000000000000098
color,response0,gamma,0.4219288306776434,0.00016000000000000172
color,response0,delta,1.824869483243674,0.00016000000000000172
color,response1,gamma,0.6029652012512088,0.00016000000000000172
color,response1,delta,1.3623540522530675,0.00016000000000000172
vague,response0,gamma,0.6402016759384423,0.00016000000000000172
vague,response0,delta,2.315705828368664,0.00016000000000000172
vague,response1,gamma,0.755910046864301,0.00016000000000000172
vague,response1,delta,2.332127990666777,0.00016000000000000172
accidental_low,response0,gamma,0.39712203736416996,0.00016000000000000172
accidental_low,response0,delta,1.4728654408827424,0.00016000000000000172
accidental_low,response1,gamma,0.21516985376365483,0.00016000000000000172
accidental_low,response1,delta,3.1936981482431293,0.00016000000000000172
part,response0,gamma,0.7885053418576717,0.00016000000000000172
part,response0,delta,2.576493681408465,0.00016000000000000172
part,response1,gamma,0.8833875416312367,0.00016000000000000172
part,response1,delta,3.774251416325569,0.00016000000000000172
accidental_high,response0,gamma,0.4510789450723678,0.00016000000000000172
accidental_high,response0,delta,1.450130739249289,0.00016000000000000172
accidental_high,response1,gamma,0.3967073664534837,0.00016000000000000172
accidental_high,response1,delta,1.9500208785757422,0.00016000000000000172
color,response0,gamma,0.4219288306776434,0.0005800000000000064
color,response0,delta,1.824869483243674,0.0005800000000000064
color,response1,gamma,0.6029652012512088,0.0005800000000000064
color,response1,delta,1.3623540522530675,0.0005800000000000064
vague,response0,gamma,0.6402016759384423,0.0005800000000000064
vague,response0,delta,2.315705828368664,0.0005800000000000064
vague,response1,gamma,0.755910046864301,0.0005800000000000064
vague,response1,delta,2.332127990666777,0.0005800000000000064
accidental_low,response0,gamma,0.4156478301156312,0.0005800000000000064
accidental_low,response0,delta,1.4728654408827424,0.0005800000000000064
accidental_low,response1,gamma,0.21516985376365483,0.0005800000000000064
accidental_low,response1,delta,3.1936981482431293,0.0005800000000000064
part,response0,gamma,0.7885053418576717,0.0005800000000000064
part,response0,delta,2.576493681408465,0.0005800000000000064
part,response1,gamma,0.8833875416312367,0.0005800000000000064
part,response1,delta,3.774251416325569,0.0005800000000000064
accidental_high,response0,gamma,0.4510789450723678,0.0005800000000000064
accidental_high,response0,delta,1.450130739249289,0.0005800000000000064
accidental_high,response1,gamma,0.3967073664534837,0.0005800000000000064
accidental_high,response1,delta,1.9500208785757422,0.0005800000000000064
color,response0,gamma,0.4219288306776434,0.0009800000000000106
color,response0,delta,1.824869483243674,0.0009800000000000106
color,response1,gamma,0.6029652012512088,0.0009800000000000106
color,response1,delta,1.3623540522530675,0.0009800000000000106
vague,response0,gamma,0.6402016759384423,0.0009800000000000106
vague,response0,delta,2.315705828368664,0.0009800000000000106
vague,response1,gamma,0.755910046864301,0.0009800000000000106
vague,response1,delta,2.332127990666777,0.0009800000000000106
accidental_low,response0,gamma,0.4156478301156312,0.0009800000000000106
accidental_low,response0,delta,1.4728654408827424,0.0009800000000000106
accidental_low,response1,gamma,0.21516985376365483,0.0009800000000000106
accidental_low,response1,delta,3.1936981482431293,0.0009800000000000106
part,response0,gamma,0.7885053418576717,0.0009800000000000106
part,response0,delta,2.576493681408465,0.0009800000000000106
part,response1,gamma,0.8833875416312367,0.0009800000000000106
part,response1,delta,3.774251416325569,0.0009800000000000106
accidental_high,response0,gamma,0.46953250491060317,0.0009800000000000106
accidental_high,response0,delta,1.450130739249289,0.0009800000000000106
accidental_high,response1,gamma,0.3967073664534837,0.0009800000000000106
accidental_high,response1,delta,1.9500208785757422,0.0009800000000000106
color,response0,gamma,0.4219288306776434,0.0016200000000000177
color,response0,delta,1.824869483243674,0.0016200000000000177
color,response1,gamma,0.6029652012512088,0.0016200000000000177
color,response1,delta,1.3623540522530675,0.0016200000000000177
vague,response0,gamma,0.6402016759384423,0.0016200000000000177
vague,response0,delta,2.315705828368664,0.0016200000000000177
vague,response1,gamma,0.755910046864301,0.0016200000000000177
vague,response1,delta,2.332127990666777,0.0016200000000000177
accidental_low,response0,gamma,0.4156478301156312,0.0016200000000000177
accidental_low,response0,delta,1.4728654408827424,0.0016200000000000177
accidental_low,response1,gamma,0.21713914815336466,0.0016200000000000177
accidental_low,response1,delta,3.1936981482431293,0.0016200000000000177
part,response0,gamma,0.7885053418576717,0.0016200000000000177
part,response0,delta,2.576493681408465,0.0016200000000000177
part,response1,gamma,0.8833875416312367,0.0016200000000000177
part,response1,delta,3.774251416325569,0.0016200000000000177
accidental_high,response0,gamma,0.46953250491060317,0.0016200000000000177
accidental_high,response0,delta,1.450130739249289,0.0016200000000000177
accidental_high,response1,gamma,0.3967073664534837,0.0016200000000000177
accidental_high,response1,delta,1.9500208785757422,0.0016200000000000177
color,response0,gamma,0.4219288306776434,0.00008000000000000086
